FAN,STATS,Player,P,Age,Exp,G,MPG,PPG,RPG,APG,BPG,SPG,2pt,3pt,ft,ORPG,DRPG,TPG,ADP,O,FPPG,FPPM
CAM,"Kevin Durant
(OKL)",Add,F,25,7,81,38.5,32,7.4,5.5,0.7,1.3,0.55,0.39,0.87,0.7,6.7,3.5,1.8,93,58.9,1.53
ST.,"Kevin Love
(CLE)",Add,FC,26,6,77,36.3,26.1,12.5,4.5,0.5,0.8,0.5,0.38,0.82,2.9,9.6,2.5,6.1,97,55.6,1.53
MAC,"LeBron James
(CLE)",Add,F,29,11,77,37.7,27.1,6.9,6.3,0.3,1.6,0.62,0.38,0.75,1.1,5.9,3.5,3.8,93,52,1.38
VIC,"Carmelo Anthony
(NYK)",Add,F,30,11,77,38.7,27.4,8.1,3.1,0.7,1.2,0.47,0.4,0.85,1.9,6.2,2.6,9.4,97,51.7,1.33
BEL,"LaMarcus Aldridge
(POR)",Add,FC,29,8,69,36.2,23.2,11.1,2.6,1,0.9,0.46,0.2,0.82,2.4,8.7,1.8,7.2,97,50.2,1.39
MAC,"Stephen Curry
(GSW)",Add,G,26,5,78,36.4,24,4.3,8.5,0.2,1.7,0.51,0.42,0.89,0.6,3.7,3.8,9.3,93,47.5,1.3
ILH,"Blake Griffin
(LAC)",Add,F,25,4,80,35.8,24.1,9.5,3.8,0.6,1.1,0.54,0.27,0.72,2.4,7.1,2.8,8.8,91,47.1,1.31
PN,"James Harden
(HOU)",Add,G,25,5,73,38.1,25.4,4.7,6.1,0.4,1.6,0.52,0.37,0.87,0.8,3.9,3.6,10.3,91,47,1.23
IPA,"DeMarcus Cousins
(SAC)",Add,C,24,4,71,32.4,22.7,11.7,2.9,1.3,1.5,0.5,0,0.73,3.1,8.6,3.5,8.4,93,46.4,1.43
THU,"Al Jefferson
(CHA)",Add,C,29,10,73,35.1,21.8,10.8,2.1,1.1,0.9,0.51,0.2,0.69,2.1,8.7,1.7,13.5,93,46.3,1.32
SAN,"Russell Westbrook
(OKL)",Add,G,25,6,46,30.6,21.8,5.7,6.9,0.2,1.9,0.48,0.32,0.83,1.2,4.5,3.8,11.2,91,45.2,1.48
GOO,"Chris Paul
(LAC)",Add,G,29,9,62,35,19.1,4.3,10.7,0.1,2.5,0.5,0.37,0.86,0.6,3.7,2.3,8.9,93,44.6,1.28
BH,"Anthony Davis
(NOR)",Add,FC,21,2,67,35.2,20.8,10,1.6,2.8,1.3,0.52,0.22,0.79,3.1,7,1.6,5.6,93,44.6,1.27
SPR,"Paul George *
(IND)",Add,GF,24,4,80,36.3,21.7,6.8,3.5,0.3,1.9,0.46,0.36,0.86,0.8,6,2.8,134,52,43.3,1.19
VI�,"DeMar DeRozan
(TOR)",Add,GF,25,5,79,38.2,22.7,4.3,4,0.4,1.1,0.45,0.3,0.82,0.6,3.7,2.2,27.6,93,41.8,1.09
IP�,"John Wall
(WAS)",Add,G,24,4,82,36.3,19.3,4.1,8.8,0.5,1.8,0.46,0.35,0.8,0.5,3.6,3.6,17.1,93,41.6,1.15
CEN,"Kyrie Irving
(CLE)",Add,G,22,3,71,35.2,20.8,3.6,6.1,0.3,1.5,0.46,0.36,0.86,0.7,2.9,2.7,24,93,41.1,1.17
THU,"Dirk Nowitzki
(DAL)",Add,F,36,16,80,32.8,21.7,6.2,2.7,0.6,0.9,0.53,0.4,0.9,0.5,5.7,1.5,22.7,97,41,1.25
