FAN,STATS,Player,P,Age,Exp,G,MPG,PPG,RPG,APG,BPG,SPG,2pt,3pt,ft,ORPG,DRPG,TPG,ADP,O,FPPG,FPPM
VAL,"Damian Lillard
(POR)",Add,G,24,2,82,35.8,20.7,3.5,5.5,0.3,0.8,0.45,0.39,0.87,0.4,3.1,2.4,22.9,93,39.3,1.1
FSA,"Dwight Howard
(HOU)",Add,C,28,10,71,33.7,18.3,12.2,1.8,1.8,0.8,0.59,0.29,0.55,3.3,8.9,3.2,11.8,93,39.2,1.16
VAL,"Al Horford
(ATL)",Add,FC,28,7,29,33.1,18.6,8.4,2.6,1.5,0.9,0.57,0.36,0.68,2.3,6.1,2.2,23.8,93,39,1.18
VAL,"Paul Millsap
(ATL)",Add,F,29,8,74,33.5,17.9,8.5,3.1,1.1,1.7,0.49,0.36,0.73,2.1,6.4,2.5,26.6,93,39,1.16
ENG,"Pau Gasol
(CHI)",Add,FC,34,13,60,31.4,17.4,9.7,3.4,1.5,0.4,0.48,0.29,0.74,2.1,7.6,2.4,24.1,93,39,1.24
NEG,"Kemba Walker
(CHA)",Add,G,24,3,73,35.8,17.7,4.2,6.1,0.4,1.2,0.42,0.33,0.84,0.5,3.7,2.3,47.1,91,38.1,1.06
VIS,"Kyle Lowry
(TOR)",Add,G,28,8,79,36.2,17.9,4.7,7.4,0.2,1.5,0.46,0.38,0.81,1.1,3.6,2.5,31,93,38.1,1.05
IPA,"Ty Lawson
(DEN)",Add,G,26,5,62,35.9,17.6,3.5,8.8,0.2,1.6,0.46,0.36,0.8,0.7,2.8,3.2,40.2,89,37.9,1.06
NY,"Rudy Gay
(SAC)",Add,F,28,8,73,34.7,20,6,2.9,0.8,1.3,0.48,0.33,0.82,1.5,4.4,3.1,45.9,88,37.9,1.09
BEL,"Isaiah Thomas
(PHO)",Add,G,25,3,72,34.6,20.3,2.9,6.3,0.1,1.3,0.5,0.35,0.85,0.7,2.3,3,54.1,91,37.8,1.09
FSA,"Goran Dragic
(PHO)",Add,G,28,6,76,35.1,20.3,3.2,5.9,0.3,1.4,0.54,0.41,0.76,0.9,2.3,2.8,35.1,97,37.7,1.07
IP�,"Ryan Anderson *
(NOR)",Add,F,26,6,22,36.1,19.8,6.4,0.8,0.3,0.5,0.46,0.41,0.95,3,3.5,0.9,69.9,78,37.5,1.04
BJ,"Zach Randolph
(MEM)",Add,F,33,13,79,34.3,17.4,10.1,2.5,0.3,0.7,0.47,0.1,0.74,3.4,6.7,2.3,38.6,91,37.5,1.09
IP�,"Monta Ellis
(DAL)",Add,G,28,9,82,36.9,19,3.6,5.7,0.3,1.7,0.48,0.33,0.79,0.5,3.1,3.2,51.3,88,37.3,1.01
SPR,"Michael Carter-Williams *
(PHI)",Add,G,22,1,70,34.5,16.7,6.2,6.3,0.6,1.8,0.44,0.26,0.7,1.4,4.8,3.5,30.9,93,37.2,1.08
PA�,"Tim Duncan
(SAS)",Add,FC,38,17,74,29.1,15.1,9.8,3,1.9,0.6,0.49,0,0.73,2.1,7.6,2.1,32.7,93,36.8,1.26
SAN,"Josh Smith
(DET)",Add,F,28,10,77,35.5,16.4,6.8,3.3,1.4,1.4,0.46,0.26,0.53,1.3,5.4,2.6,54.3,91,36.6,1.03
CEN,"Dwyane Wade
(MIA)",Add,G,32,11,54,32.9,19,4.5,4.7,0.5,1.5,0.56,0.28,0.73,1.1,3.4,3,36.1,93,36.6,1.11
VAL,"David Lee
(GSW)",Add,F,31,9,69,33.2,18.2,9.3,2.1,0.4,0.7,0.52,0,0.78,2.7,6.7,2.2,35.9,93,36.3,1.1
BH,"Thaddeus Young
(MIN)",Add,F,26,7,79,34.4,17.9,6,2.3,0.5,2.1,0.5,0.31,0.71,2.1,3.9,2.1,56.5,84,36.2,1.05
VI�,"Brook Lopez *
(BKL)",Add,C,26,6,17,31.4,20.7,6,0.9,1.8,0.5,0.57,0,0.82,2.3,3.7,1.6,35.1,93,36,1.15
SIX,"Joakim Noah *
(CHI)",Add,C,29,7,80,35.2,12.6,11.3,5.4,1.5,1.2,0.48,0,0.74,3.5,7.7,2.4,22.4,97,35.9,1.02
MAC,"Mike Conley
(MEM)",Add,G,26,7,73,33.5,17.2,2.9,6,0.2,1.5,0.48,0.36,0.82,0.6,2.4,2.1,58.6,84,35.5,1.06
VAL,"Eric Bledsoe
(PHO)",Add,G,24,4,43,32.9,17.7,4.7,5.5,0.3,1.6,0.52,0.36,0.77,0.6,4.1,3.3,55.8,88,35.5,1.08
PRO,"Chandler Parsons
(DAL)",Add,F,25,3,74,37.6,16.6,5.5,4,0.4,1.2,0.53,0.37,0.74,0.9,4.6,1.9,61.4,91,34.6,0.92
CAM,"Brandon Jennings
(DET)",Add,G,24,5,80,34.1,15.5,3,7.6,0.1,1.3,0.4,0.34,0.75,0.7,2.3,2.7,63.3,84,34.5,1.01
CAM,"Gordon Hayward
(UTA)",Add,GF,24,4,77,36.3,16.2,5.1,5.2,0.5,1.4,0.45,0.3,0.82,0.8,4.3,2.8,50.7,86,34.5,0.95
SAN,"Nikola Pekovic
(MIN)",Add,C,28,4,54,30.8,17.5,8.7,0.9,0.4,0.6,0.54,0,0.75,3.8,4.9,1.6,43.5,93,34,1.1
LAV,"Serge Ibaka
(OKL)",Add,FC,24,5,81,32.9,15.1,8.8,1,2.7,0.5,0.55,0.38,0.78,2.8,6,1.5,26,97,34,1.03
LAV,"Andre Drummond
(DET)",Add,C,21,2,81,32.3,13.5,13.2,0.4,1.6,1.3,0.62,0,0.42,5.4,7.8,1.3,18.5,93,33.8,1.05
BH,"Brandon Knight
(MIL)",Add,G,22,3,73,33,17.7,3.5,4.8,0.2,0.9,0.47,0.33,0.8,0.6,2.9,2.6,70.9,75,33.8,1.03
BEL,"Jamal Crawford
(LAC)",Add,G,34,14,69,30.3,18.6,2.3,3.2,0.2,0.9,0.46,0.36,0.87,0.5,1.8,2,86.8,71,33.6,1.11
NEG,"Bradley Beal
(WAS)",Add,G,21,2,73,34.6,17.1,3.7,3.4,0.2,1,0.43,0.4,0.79,0.7,3,1.8,68.1,86,33.5,0.97
ENG,"Marc Gasol
(MEM)",Add,C,29,6,59,33.5,14.6,7.2,3.7,1.3,1,0.48,0.18,0.77,1.4,5.8,1.9,34.1,97,33.3,0.99
GOO,"Greg Monroe
(DET)",Add,FC,24,4,82,32.8,15.2,9.3,2.1,0.6,1.1,0.5,0,0.66,3.1,6.1,2,37.4,89,33.3,1.01
MAC,"Kevin Martin
(MIN)",Add,G,31,10,68,32,19.1,3,1.8,0.1,1,0.45,0.39,0.89,0.5,2.5,1.6,88.9,67,33.1,1.04
SIX,"Jrue Holiday *
(NOR)",Add,G,24,5,34,33.6,14.3,4.2,7.9,0.4,1.6,0.46,0.39,0.81,0.8,3.4,3.1,59.5,89,33.1,0.98
VIC,"Nikola Vucevic
(ORL)",Add,C,23,3,57,31.8,14.2,11,1.8,0.8,1.1,0.51,0,0.77,3.2,7.7,2,37.3,93,33,1.04
VAL,"Jeff Teague
(ATL)",Add,G,26,5,79,32.2,16.5,2.6,6.7,0.2,1.1,0.47,0.33,0.85,0.4,2.2,2.9,63.3,80,32.9,1.02
PN,"Luol Deng
(MIA)",Add,F,29,10,63,35.1,16,5.7,2.9,0.1,1,0.47,0.3,0.79,1.6,4.2,1.8,67.5,84,32.9,0.94
SIX,"Klay Thompson
(GSW)",Add,G,24,3,81,35.4,18.4,3.1,2.2,0.5,0.9,0.46,0.42,0.79,0.5,2.6,1.7,76.8,78,32.7,0.92
GOO,"Tony Parker
(SAS)",Add,G,32,13,68,29.4,16.7,2.3,5.7,0.1,0.5,0.51,0.37,0.81,0.3,2,2.2,50.4,89,32.2,1.09
FSA,"Arron Afflalo
(DEN)",Add,GF,28,7,73,34.9,18.2,3.6,3.4,0,0.5,0.47,0.43,0.82,0.4,3.2,2,84.9,67,32.1,0.92
ILH,"Nicolas Batum
(POR)",Add,GF,25,6,82,36.1,13,7.5,5.1,0.7,0.9,0.57,0.36,0.8,1.4,6,2.5,48.3,89,32,0.89
BJ,"Rajon Rondo
(BOS)",Add,G,28,8,30,33.3,11.7,5.5,9.8,0.1,1.3,0.44,0.29,0.63,0.7,4.7,3.3,40.2,91,32,0.96
NEG,"Chris Bosh
(MIA)",Add,FC,30,11,79,32,16.2,6.6,1.1,1,1,0.57,0.34,0.82,1.2,5.4,1.6,28.2,88,31.9,1
NY,"Derrick Rose
(CHI)",Add,G,25,6,10,31.1,15.9,3.2,4.3,0.1,0.5,0.36,0.34,0.84,0.9,2.3,3.4,32.4,80,31.4,1.01
FSA,"Jeff Green
(BOS)",Add,F,27,6,82,34.2,16.9,4.6,1.7,0.6,0.7,0.45,0.34,0.79,0.7,4,2,90.7,62,31.1,0.91
PN,"DeAndre Jordan
(LAC)",Add,C,26,6,82,35,10.4,13.6,0.9,2.5,1,0.68,0,0.43,4,9.5,1.5,37.8,89,31,0.89
SPR,"Tyreke Evans *
(NOR)",Add,GF,24,5,72,28.1,14.5,4.7,5,0.3,1.2,0.46,0.22,0.77,1.1,3.7,2.4,64.4,86,30.9,1.1
MAC,"Marcin Gortat
(WAS)",Add,C,30,7,81,32.8,13.2,9.5,1.7,1.5,0.5,0.54,1,0.69,2.5,7,1.6,53.3,86,30.6,0.93
ST.,"David West
(IND)",Add,F,34,11,80,30.9,14,6.8,2.8,0.9,0.8,0.49,0.27,0.79,1.5,5.3,1.7,64.1,88,30.5,0.99
PET,"Trevor Ariza
(HOU)",Add,F,29,10,77,35.4,14.4,6.2,2.5,0.3,1.6,0.51,0.41,0.77,1.3,4.9,1.7,92.9,75,30.5,0.86
IPA,"Wes Matthews
(POR)",Add,GF,27,5,82,33.9,16.4,3.5,2.4,0.2,0.9,0.49,0.39,0.84,0.6,2.9,1.3,100.8,60,30.4,0.9
VI�,"Lance Stephenson
(CHA)",Add,G,24,4,78,35.2,13.8,7.2,4.6,0.1,0.7,0.54,0.35,0.71,1.2,5.9,2.7,57.2,86,30.4,0.86
VIC,"Deron Williams *
(BKL)",Add,G,30,9,64,32.1,14.3,2.6,6.1,0.2,1.5,0.5,0.37,0.8,0.2,2.4,2.2,65.6,76,29.8,0.93
MAC,"Spencer Hawes
(LAC)",Add,C,26,7,80,30.9,13.2,8.2,3,1.2,0.6,0.48,0.42,0.78,1.6,6.6,2.2,83.1,76,29.7,0.96
NY,"Jimmy Butler
(CHI)",Add,GF,25,3,67,38.7,13.1,4.9,2.6,0.5,1.9,0.46,0.28,0.77,1.3,3.6,1.5,100.1,65,29.6,0.77
ST.,"Nick Young
(LAL)",Add,GF,29,7,64,28.4,17.9,2.6,1.5,0.2,0.7,0.47,0.39,0.82,0.5,2.1,1.5,107.5,63,29.6,1.04
BJ,"Joe Johnson
(BKL)",Add,GF,33,13,79,32.6,15.8,3.4,2.7,0.1,0.6,0.49,0.4,0.82,0.6,2.8,1.5,97.2,67,29.5,0.9
MAC,"Kenneth Faried
(DEN)",Add,F,24,3,80,27.2,13.7,8.5,1.2,0.8,0.9,0.55,0,0.65,3,5.6,1.7,43.6,86,29.3,1.07
PRO,"Kawhi Leonard
(SAS)",Add,GF,23,3,66,29.2,12.8,6.2,2,0.7,1.7,0.58,0.38,0.8,1.2,5.1,1.2,46.6,84,29.2,1
IPA,"Derrick Favors
(UTA)",Add,FC,23,4,73,30.2,13.3,8.7,1.2,1.5,1,0.52,0,0.67,2.7,6,1.8,42.9,93,29.1,0.96
ENG,"Carlos Boozer
(LAL)",Add,F,32,12,76,28.2,13.7,8.3,1.6,0.3,0.7,0.46,0,0.77,1.8,6.5,2,81.1,88,29,1.03
IPA,"Tobias Harris
(ORL)",Add,F,22,3,61,30.3,14.6,7,1.3,0.4,0.7,0.51,0.25,0.81,1.4,5.5,1.3,89.3,65,29,0.96
ENG,"Dion Waiters
(CLE)",Add,G,22,2,70,29.6,15.9,2.8,3,0.2,0.9,0.45,0.37,0.69,0.4,2.3,2.2,130.1,62,29,0.98
BEL,"Nene Hilario
(WAS)",Add,FC,32,12,53,29.5,14.2,5.5,2.9,0.9,1.2,0.51,0.2,0.58,1.2,4.3,2.2,69.1,86,28.7,0.97
GOO,"JR Smith
(NYK)",Add,G,29,10,74,32.7,14.5,4,3,0.3,0.9,0.44,0.39,0.65,0.5,3.5,1.5,106.2,58,28.7,0.88
VIC,"Eric Gordon *
(NOR)",Add,G,25,6,64,32.1,15.4,2.6,3.2,0.2,1.2,0.46,0.39,0.78,0.5,2.1,2.1,114.6,54,28.7,0.89
SPR,"Jared Sullinger
(BOS)",Add,FC,22,2,74,27.6,13.3,8.1,1.6,0.7,0.5,0.47,0.27,0.78,3.3,4.9,1.6,61.1,88,28.4,1.03
VIS,"Kobe Bryant *
(LAL)",Add,GF,36,18,6,29.5,13.8,4.3,6.3,0.2,1.2,0.49,0.19,0.86,0.3,4,5.7,36.3,89,28.1,0.95
LAV,"Trey Burke
(UTA)",Add,G,21,1,70,32.3,12.8,3,5.7,0.1,0.6,0.41,0.33,0.9,0.5,2.4,1.9,94.7,63,27.7,0.86
THU,"Reggie Jackson
(OKL)",Add,G,24,3,80,28.5,13.1,3.9,4.1,0.1,1.1,0.48,0.34,0.89,0.5,3.4,2.1,105.2,63,27.7,0.97
MAC,"Jodie Meeks
(DET)",Add,G,27,5,77,33.2,15.7,2.5,1.8,0.1,1.4,0.51,0.4,0.86,0.4,2.1,1.4,125.6,41,27.7,0.83
THU,"Gerald Green
(PHO)",Add,GF,28,7,82,28.4,15.8,3.3,1.5,0.5,0.9,0.49,0.4,0.85,0.6,2.8,1.8,104.5,65,27.7,0.98
PRO,"Victor Oladipo
(ORL)",Add,G,22,1,80,31.1,13.8,4.1,4.1,0.5,1.6,0.45,0.33,0.78,0.5,3.6,3.2,68.1,84,27.6,0.89
CAM,"Terrence Jones
(HOU)",Add,F,22,2,76,27.4,12.1,6.9,1.1,1.3,0.7,0.58,0.3,0.61,2.1,4.8,0.9,86.1,71,27.6,1.01
MAC,"Jameer Nelson
(DAL)",Add,G,32,10,68,32,12.1,3.4,7,0.1,0.8,0.44,0.35,0.86,0.4,3,2.4,133,50,27.5,0.86
ILH,"Evan Turner
(BOS)",Add,GF,25,4,80,30.2,14,5,3.2,0.1,0.8,0.45,0.32,0.81,0.8,4.3,2.4,100.5,62,27.5,0.91
NY,"Gerald Henderson *
(CHA)",Add,GF,26,5,77,31.9,14,4,2.6,0.4,0.6,0.44,0.35,0.76,0.4,3.6,1.5,128.9,49,27.3,0.86
ST.,"Ricky Rubio
(MIN)",Add,G,23,3,82,32.1,9.5,4.2,8.6,0.1,2.3,0.39,0.33,0.8,0.7,3.4,2.7,57.5,93,27.2,0.85
MAC,"Taj Gibson
(CHI)",Add,F,29,5,82,28.7,13,6.8,1.1,1.3,0.5,0.48,0,0.75,2.4,4.4,1.8,106,67,27.2,0.95
GOO,"JJ Hickson *
(DEN)",Add,FC,26,6,69,27,11.8,9.2,1.4,0.7,0.7,0.51,0,0.52,3,6.2,1.8,90.7,84,27.1,1
,"Avery Bradley
(BOS)",Add,G,23,4,60,30.9,14.8,3.8,1.4,0.2,1.1,0.45,0.4,0.8,0.8,3,1.6,146.1,43,27,0.87
,"JJ Redick
(LAC)",Add,G,30,8,35,28.2,15.2,2.1,2.3,0.1,0.8,0.51,0.39,0.92,0.3,1.9,1.2,138.4,50,26.9,0.95
FSA,"Markieff Morris
(PHO)",Add,F,25,3,81,26.6,13.8,6,1.8,0.6,0.8,0.51,0.31,0.79,1.7,4.3,1.8,77.9,71,26.9,1.01
VI�,"Wilson Chandler
(DEN)",Add,F,27,7,62,30.9,13.6,4.7,1.8,0.5,0.7,0.48,0.35,0.72,0.9,3.8,1.3,146.7,52,26.6,0.86
VI�,"Tristan Thompson
(CLE)",Add,F,23,3,82,31.6,11.7,9.2,0.9,0.4,0.5,0.48,0,0.69,3.3,5.9,1.3,110.8,52,26.5,0.84
VAL,"Andrea Bargnani
(NYK)",Add,FC,28,8,42,29.8,13.3,5.3,1.1,1.2,0.3,0.49,0.28,0.82,1.7,3.6,1.4,112.5,54,26.4,0.88
PN,"Robin Lopez
(POR)",Add,C,26,6,82,31.8,11.1,8.5,0.9,1.7,0.3,0.55,0,0.82,4,4.5,1,83.5,75,26.4,0.83
PA�,"Paul Pierce
(WAS)",Add,F,36,16,75,28,13.5,4.6,2.4,0.4,1.1,0.51,0.37,0.83,0.3,4.3,2,104.4,71,25.8,0.92
,"Randy Foye
(DEN)",Add,G,30,8,81,30.7,13.1,2.9,3.6,0.5,0.8,0.46,0.38,0.85,0.4,2.4,1.8,136,39,25.5,0.83
THU,"Manu Ginobili *
(SAS)",Remove,G,37,12,68,22.9,12.3,3,4.3,0.2,1,0.55,0.35,0.85,0.4,2.6,2,93.6,89,25.4,1.11
,"DJ Augustin
(DET)",Add,G,26,6,70,27.6,13.3,1.8,4.5,0,0.7,0.43,0.4,0.89,0.2,1.6,1.8,166,38,25.3,0.92
,"Shawn Marion
(CLE)",Add,F,36,15,76,31.7,10.4,6.5,1.6,0.5,1.2,0.52,0.36,0.78,1.7,4.8,1.3,135.8,50,24.9,0.79
,"Alec Burks
(UTA)",Add,G,23,3,78,28.1,14,3.3,2.7,0.2,0.9,0.48,0.35,0.75,0.8,2.5,1.9,142.4,47,24.9,0.89
SAN,"John Henson
(MIL)",Add,FC,23,2,70,26.5,11.1,7.1,1.6,1.7,0.6,0.54,0,0.51,2.4,4.7,1.6,76.8,73,24.7,0.93
BH,"Enes Kanter
(UTA)",Add,C,22,3,80,26.7,12.3,7.5,0.9,0.5,0.4,0.49,0,0.73,2.8,4.7,1.8,90.7,62,24.4,0.91
SIX,"Jose Calderon
(NYK)",Add,G,32,9,81,30.5,11.4,2.4,4.7,0.1,0.9,0.46,0.45,0.83,0.4,2,1.3,105.6,62,24.4,0.8
ENG,"Tony Wroten
(PHI)",Add,G,21,2,72,24.5,13,3.2,3,0.2,1.1,0.49,0.21,0.64,1,2.2,2.8,138.3,49,24.2,0.99
BJ,"Roy Hibbert
(IND)",Add,C,27,6,81,29.7,10.8,6.6,1.1,2.2,0.4,0.44,0.4,0.77,2.5,4.1,1.8,68.2,78,24.2,0.82
VAL,"Anderson Varejao
(CLE)",Add,C,31,10,65,27.7,8.4,9.7,2.2,0.6,1.1,0.5,0,0.68,2.9,6.8,1.1,88.3,76,24.2,0.87
VIS,"Jeremy Lin
(LAL)",Add,G,26,4,71,28.9,12.5,2.6,4.1,0.4,0.9,0.49,0.36,0.82,0.5,2.2,2.5,117.6,65,24.2,0.84
NEG,"DeMarre Carroll
(ATL)",Add,F,28,5,73,32.1,11.1,5.5,1.8,0.3,1.5,0.55,0.36,0.77,1.5,4.1,1.1,140.3,43,24.2,0.75
NY,"Jonas Valanciunas
(TOR)",Add,C,22,2,81,28.2,11.3,8.8,0.7,0.9,0.3,0.53,0,0.76,2.8,6,1.7,69.7,75,24.1,0.86
PRO,"Kyle Korver
(ATL)",Add,GF,33,11,71,34,12,4,2.9,0.3,1,0.48,0.47,0.93,0.3,3.7,1.4,127.7,60,24.1,0.71
,"Rodney Stuckey
(IND)",Add,G,28,7,73,26.7,13.9,2.3,2.1,0.1,0.7,0.45,0.27,0.84,0.5,1.8,1.7,131.1,47,24.1,0.9
,"Ramon Sessions
(*FA)",Add,G,28,7,81,26.7,12.3,2.4,4,0.1,0.6,0.45,0.28,0.81,0.5,2,1.8,202,41,24,0.9
,"Vince Carter
(MEM)",Add,GF,37,16,81,24.4,11.9,3.5,2.6,0.4,0.8,0.42,0.39,0.82,0.8,2.7,1.3,122.1,65,23.9,0.98
,"Mike Dunleavy
(CHI)",Add,GF,34,13,82,31.5,11.3,4.2,2.3,0.6,0.8,0.47,0.38,0.85,0.6,3.6,1.3,164,47,23.7,0.75
BJ,"Ersan Ilyasova
(MIL)",Add,F,27,6,55,26.9,11.2,6.2,1.3,0.1,0.8,0.45,0.28,0.82,1.9,4.3,1.1,135.5,49,23.7,0.88
LAV,"Andre Iguodala
(GSW)",Add,GF,30,10,63,32.4,9.3,4.6,4.2,0.3,1.5,0.56,0.35,0.65,0.8,3.8,1.6,88.7,71,23.7,0.73
,"Raymond Felton *
(DAL)",Add,G,30,9,65,31.1,9.7,3,5.7,0.4,1.2,0.43,0.32,0.72,0.8,2.2,2,160.7,41,23.5,0.76
CAM,"Andray Blatche
(*FA)",Add,FC,28,9,73,22.2,11.2,5.3,1.5,0.5,1,0.49,0.28,0.74,1.6,3.7,1.5,117.8,67,23.4,1.05
MAC,"Corey Brewer
(MIN)",Add,GF,28,7,81,32.2,12.3,2.6,1.7,0.4,1.9,0.55,0.28,0.72,0.8,1.8,1.3,165.2,43,23.1,0.72
,"Darren Collison
(SAC)",Add,G,27,5,80,25.9,11.4,2.4,3.7,0.2,1.2,0.5,0.38,0.86,0.6,1.8,1.7,115.4,54,22.9,0.89
,"Channing Frye
(ORL)",Add,FC,31,9,82,28.2,11.1,5.1,1.2,0.8,0.7,0.51,0.37,0.82,0.9,4.2,1.1,111.8,52,22.8,0.81
,"George Hill
(IND)",Add,G,28,6,76,32.1,10.3,3.7,3.5,0.3,1,0.5,0.37,0.81,0.7,3,1.2,111.9,52,22.8,0.71
,"Kendall Marshall
(MIL)",Add,G,23,2,54,29,8,2.9,8.8,0.1,0.9,0.41,0.4,0.53,0.3,2.6,2.8,174.8,52,22.8,0.78
NEG,"Tyson Chandler
(DAL)",Add,C,31,13,55,30.3,8.7,9.6,1.1,1.1,0.7,0.6,0,0.63,2.9,6.7,1.3,85.3,73,22.7,0.75
,"PJ Tucker
(PHO)",Add,GF,29,3,81,30.7,9.4,6.5,1.7,0.3,1.4,0.45,0.39,0.78,2,4.5,1.3,146.4,39,22.5,0.73
VAL,"Andrew Bogut
(GSW)",Add,C,29,9,67,26.4,7.3,10,1.7,1.8,0.7,0.63,0,0.34,2.7,7.3,1.4,84.2,80,22.4,0.85
,"Khris Middleton
(MIL)",Add,F,23,2,82,30,12.1,3.8,2.1,0.2,1,0.45,0.41,0.86,0.7,3,1.5,187,43,22.2,0.74
,"Brandon Bass
(BOS)",Add,F,29,9,82,27.6,11.1,5.7,1.1,0.9,0.4,0.49,0.33,0.86,2,3.8,1.2,141.6,49,22.2,0.8
,"Jordan Farmar
(LAC)",Add,G,27,8,41,22.2,10.1,2.5,4.9,0.2,0.9,0.4,0.44,0.75,0.5,2,2.3,158.1,52,22,0.99
,"Patrick Beverley
(HOU)",Add,G,26,2,56,31.2,10.2,3.5,2.7,0.4,1.4,0.47,0.36,0.81,1.3,2.2,1.2,140,49,22,0.7
VAL,"Amir Johnson
(TOR)",Add,FC,27,9,77,28.8,10.4,6.5,1.5,1.1,0.7,0.59,0.3,0.64,2.2,4.3,1.6,105.7,60,21.9,0.76
,"Josh McRoberts *
(MIA)",Add,F,27,7,78,30.3,8.5,4.8,4.3,0.6,0.7,0.52,0.36,0.73,1.1,3.7,1.1,152,49,21.9,0.72
,"Jordan Crawford
(GSW)",Add,G,25,4,81,22.9,11,2.3,3.5,0.1,0.6,0.47,0.32,0.86,0.3,1.9,1.7,177.8,41,21.8,0.95
,"Mario Chalmers
(MIA)",Add,G,28,6,73,29.9,9.8,2.9,4.9,0.2,1.6,0.5,0.39,0.74,0.6,2.4,2.2,142.8,43,21.7,0.73
,"Marco Belinelli
(SAS)",Add,G,28,7,80,25.2,11.4,2.8,2.2,0.1,0.6,0.52,0.43,0.85,0.2,2.6,1.2,159,54,21.7,0.86
,"Caron Butler
(DET)",Add,F,34,12,56,25.3,10.5,4.1,1.5,0.3,0.8,0.4,0.39,0.84,0.4,3.7,1.1,207,34,21.3,0.84
,"Matt Barnes
(LAC)",Add,F,34,11,63,27.6,9.9,4.6,2,0.4,0.9,0.55,0.34,0.73,1,3.7,1.3,203.2,41,21.1,0.77
BH,"Chris Kaman
(POR)",Remove,C,32,11,39,18.9,10.4,5.9,1.5,1,0.3,0.51,0,0.76,1.4,4.5,1.9,144.6,52,21.1,1.12
PRO,"Jordan Hill
(LAL)",Add,FC,27,5,73,20.6,9.5,7.3,0.7,0.9,0.4,0.55,0,0.69,2.7,4.7,1,79.6,71,21.1,1.03
,"Lou Williams
(TOR)",Add,G,27,9,60,24.1,10.4,2.1,3.5,0.1,0.8,0.45,0.34,0.85,0.2,1.9,1.5,192.4,41,21.1,0.87
