Player,Watch,P,Age,Exp,G,MPG,PPG,RPG,APG,BPG,SPG,2PT%,3PT%,FT%,ORPG,DRPG,TPG,ADP,O%,FPPG,FPPM
"Chandler Parsons
(DAL)",Add,F,25,3,74,37.6,16.6,5.5,4,0.4,1.2,0.53,0.37,0.74,0.9,4.6,1.9,61.1,90,34.6,0.92
"Brandon Jennings
(DET)",Add,G,24,5,80,34.1,15.5,3,7.6,0.1,1.3,0.4,0.34,0.75,0.7,2.3,2.7,63.2,82,34.5,1.01
"Gordon Hayward
(UTA)",Add,GF,24,4,77,36.3,16.2,5.1,5.2,0.5,1.4,0.45,0.3,0.82,0.8,4.3,2.8,50.2,87,34.5,0.95
"Nikola Pekovic
(MIN)",Add,C,28,4,54,30.8,17.5,8.7,0.9,0.4,0.6,0.54,0,0.75,3.8,4.9,1.6,43.6,90,34,1.1
"Serge Ibaka
(OKL)",Add,FC,24,5,81,32.9,15.1,8.8,1,2.7,0.5,0.55,0.38,0.78,2.8,6,1.5,26.8,95,34,1.03
"Andre Drummond
(DET)",Add,C,21,2,81,32.3,13.5,13.2,0.4,1.6,1.3,0.62,0,0.42,5.4,7.8,1.3,18.3,94,33.8,1.05
"Brandon Knight
(MIL)",Add,G,22,3,73,33,17.7,3.5,4.8,0.2,0.9,0.47,0.33,0.8,0.6,2.9,2.6,70.8,75,33.8,1.03
"Jamal Crawford
(LAC)",Add,G,34,14,69,30.3,18.6,2.3,3.2,0.2,0.9,0.46,0.36,0.87,0.5,1.8,2,85.5,69,33.6,1.11
"Bradley Beal
(WAS)",Add,G,21,2,73,34.6,17.1,3.7,3.4,0.2,1,0.43,0.4,0.79,0.7,3,1.8,68,83,33.5,0.97
"Marc Gasol
(MEM)",Add,C,29,6,59,33.5,14.6,7.2,3.7,1.3,1,0.48,0.18,0.77,1.4,5.8,1.9,33.9,95,33.3,0.99
"Greg Monroe
(DET)",Add,FC,24,4,82,32.8,15.2,9.3,2.1,0.6,1.1,0.5,0,0.66,3.1,6.1,2,37.6,88,33.3,1.01
"Kevin Martin
(MIN)",Add,G,31,10,68,32,19.1,3,1.8,0.1,1,0.45,0.39,0.89,0.5,2.5,1.6,91.4,68,33.1,1.04
"Jrue Holiday *
(NOR)",Add,G,24,5,34,33.6,14.3,4.2,7.9,0.4,1.6,0.46,0.39,0.81,0.8,3.4,3.1,59.5,90,33.1,0.98
"Nikola Vucevic *
(ORL)",Add,C,23,3,57,31.8,14.2,11,1.8,0.8,1.1,0.51,0,0.77,3.2,7.7,2,38.1,94,33,1.04
"Jeff Teague
(ATL)",Add,G,26,5,79,32.2,16.5,2.6,6.7,0.2,1.1,0.47,0.33,0.85,0.4,2.2,2.9,63.4,82,32.9,1.02
"Luol Deng
(MIA)",Add,F,29,10,63,35.1,16,5.7,2.9,0.1,1,0.47,0.3,0.79,1.6,4.2,1.8,65.8,83,32.9,0.94
"Klay Thompson
(GSW)",Add,G,24,3,81,35.4,18.4,3.1,2.2,0.5,0.9,0.46,0.42,0.79,0.5,2.6,1.7,76.8,80,32.7,0.92
"Tony Parker
(SAS)",Add,G,32,13,68,29.4,16.7,2.3,5.7,0.1,0.5,0.51,0.37,0.81,0.3,2,2.2,50.3,88,32.2,1.09
"Arron Afflalo
(DEN)",Add,GF,28,7,73,34.9,18.2,3.6,3.4,0,0.5,0.47,0.43,0.82,0.4,3.2,2,84.6,69,32.1,0.92
"Nicolas Batum
(POR)",Add,GF,25,6,82,36.1,13,7.5,5.1,0.7,0.9,0.57,0.36,0.8,1.4,6,2.5,47.9,88,32,0.89
"Rajon Rondo
(BOS)",Add,G,28,8,30,33.3,11.7,5.5,9.8,0.1,1.3,0.44,0.29,0.63,0.7,4.7,3.3,40.1,90,32,0.96
"Chris Bosh
(MIA)",Add,FC,30,11,79,32,16.2,6.6,1.1,1,1,0.57,0.34,0.82,1.2,5.4,1.6,28.3,87,31.9,1
"Derrick Rose *
(CHI)",Add,G,25,6,10,31.1,15.9,3.2,4.3,0.1,0.5,0.36,0.34,0.84,0.9,2.3,3.4,32,80,31.4,1.01
"Jeff Green
(BOS)",Add,F,27,6,82,34.2,16.9,4.6,1.7,0.6,0.7,0.45,0.34,0.79,0.7,4,2,94.2,61,31.1,0.91
"DeAndre Jordan
(LAC)",Add,C,26,6,82,35,10.4,13.6,0.9,2.5,1,0.68,0,0.43,4,9.5,1.5,37.8,88,31,0.89
"Tyreke Evans *
(NOR)",Add,GF,24,5,72,28.1,14.5,4.7,5,0.3,1.2,0.46,0.22,0.77,1.1,3.7,2.4,64.5,83,30.9,1.1
"Marcin Gortat
(WAS)",Add,C,30,7,81,32.8,13.2,9.5,1.7,1.5,0.5,0.54,1,0.69,2.5,7,1.6,50.7,87,30.6,0.93
"David West
(IND)",Add,F,34,11,80,30.9,14,6.8,2.8,0.9,0.8,0.49,0.27,0.79,1.5,5.3,1.7,64.5,88,30.5,0.99
"Trevor Ariza
(HOU)",Add,F,29,10,77,35.4,14.4,6.2,2.5,0.3,1.6,0.51,0.41,0.77,1.3,4.9,1.7,86.7,75,30.5,0.86
"Wes Matthews
(POR)",Add,GF,27,5,82,33.9,16.4,3.5,2.4,0.2,0.9,0.49,0.39,0.84,0.6,2.9,1.3,99.3,61,30.4,0.9
"Lance Stephenson
(CHA)",Add,G,24,4,78,35.2,13.8,7.2,4.6,0.1,0.7,0.54,0.35,0.71,1.2,5.9,2.7,56.9,83,30.4,0.86
"Deron Williams *
(BKL)",Add,G,30,9,64,32.1,14.3,2.6,6.1,0.2,1.5,0.5,0.37,0.8,0.2,2.4,2.2,65.6,76,29.8,0.93
"Spencer Hawes
(LAC)",Add,C,26,7,80,30.9,13.2,8.2,3,1.2,0.6,0.48,0.42,0.78,1.6,6.6,2.2,80.9,80,29.7,0.96
"Jimmy Butler
(CHI)",Add,GF,25,3,67,38.7,13.1,4.9,2.6,0.5,1.9,0.46,0.28,0.77,1.3,3.6,1.5,98.4,68,29.6,0.77
"Nick Young
(LAL)",Add,GF,29,7,64,28.4,17.9,2.6,1.5,0.2,0.7,0.47,0.39,0.82,0.5,2.1,1.5,110.5,63,29.6,1.04
"Joe Johnson
(BKL)",Add,GF,33,13,79,32.6,15.8,3.4,2.7,0.1,0.6,0.49,0.4,0.82,0.6,2.8,1.5,96.3,64,29.5,0.9
"Kenneth Faried
(DEN)",Add,F,24,3,80,27.2,13.7,8.5,1.2,0.8,0.9,0.55,0,0.65,3,5.6,1.7,44.4,83,29.3,1.07
"Kawhi Leonard
(SAS)",Add,GF,23,3,66,29.2,12.8,6.2,2,0.7,1.7,0.58,0.38,0.8,1.2,5.1,1.2,46.5,82,29.2,1
"Derrick Favors
(UTA)",Add,FC,23,4,73,30.2,13.3,8.7,1.2,1.5,1,0.52,0,0.67,2.7,6,1.8,44.3,94,29.1,0.96
"Carlos Boozer
(LAL)",Add,F,32,12,76,28.2,13.7,8.3,1.6,0.3,0.7,0.46,0,0.77,1.8,6.5,2,80.9,87,29,1.03
"Tobias Harris
(ORL)",Add,F,22,3,61,30.3,14.6,7,1.3,0.4,0.7,0.51,0.25,0.81,1.4,5.5,1.3,89,69,29,0.96
"Dion Waiters
(CLE)",Add,G,22,2,70,29.6,15.9,2.8,3,0.2,0.9,0.45,0.37,0.69,0.4,2.3,2.2,131.3,63,29,0.98
"Nene Hilario
(WAS)",Add,FC,32,12,53,29.5,14.2,5.5,2.9,0.9,1.2,0.51,0.2,0.58,1.2,4.3,2.2,68.3,88,28.7,0.97
"JR Smith
(NYK)",Add,G,29,10,74,32.7,14.5,4,3,0.3,0.9,0.44,0.39,0.65,0.5,3.5,1.5,106.3,61,28.7,0.88
"Eric Gordon *
(NOR)",Add,G,25,6,64,32.1,15.4,2.6,3.2,0.2,1.2,0.46,0.39,0.78,0.5,2.1,2.1,112.9,56,28.7,0.89
"Jared Sullinger
(BOS)",Add,FC,22,2,74,27.6,13.3,8.1,1.6,0.7,0.5,0.47,0.27,0.78,3.3,4.9,1.6,61,88,28.4,1.03
"Kobe Bryant *
(LAL)",Add,GF,36,18,6,29.5,13.8,4.3,6.3,0.2,1.2,0.49,0.19,0.86,0.3,4,5.7,36.2,88,28.1,0.95
"Trey Burke
(UTA)",Add,G,21,1,70,32.3,12.8,3,5.7,0.1,0.6,0.41,0.33,0.9,0.5,2.4,1.9,96.7,64,27.7,0.86
"Reggie Jackson
(OKL)",Add,G,24,3,80,28.5,13.1,3.9,4.1,0.1,1.1,0.48,0.34,0.89,0.5,3.4,2.1,104.2,64,27.7,0.97
"Jodie Meeks
(DET)",Add,G,27,5,77,33.2,15.7,2.5,1.8,0.1,1.4,0.51,0.4,0.86,0.4,2.1,1.4,125.1,44,27.7,0.83
"Gerald Green
(PHO)",Add,GF,28,7,82,28.4,15.8,3.3,1.5,0.5,0.9,0.49,0.4,0.85,0.6,2.8,1.8,110.6,69,27.7,0.98
"Victor Oladipo
(ORL)",Add,G,22,1,80,31.1,13.8,4.1,4.1,0.5,1.6,0.45,0.33,0.78,0.5,3.6,3.2,68.1,82,27.6,0.89
"Terrence Jones
(HOU)",Add,F,22,2,76,27.4,12.1,6.9,1.1,1.3,0.7,0.58,0.3,0.61,2.1,4.8,0.9,86.1,71,27.6,1.01
"Jameer Nelson
(DAL)",Add,G,32,10,68,32,12.1,3.4,7,0.1,0.8,0.44,0.35,0.86,0.4,3,2.4,132.9,52,27.5,0.86
"Evan Turner
(BOS)",Add,GF,25,4,80,30.2,14,5,3.2,0.1,0.8,0.45,0.32,0.81,0.8,4.3,2.4,97.5,68,27.5,0.91
"Gerald Henderson *
(CHA)",Add,GF,26,5,77,31.9,14,4,2.6,0.4,0.6,0.44,0.35,0.76,0.4,3.6,1.5,119.8,45,27.3,0.86
"Ricky Rubio
(MIN)",Add,G,23,3,82,32.1,9.5,4.2,8.6,0.1,2.3,0.39,0.33,0.8,0.7,3.4,2.7,57.5,94,27.2,0.85
"Taj Gibson
(CHI)",Add,F,29,5,82,28.7,13,6.8,1.1,1.3,0.5,0.48,0,0.75,2.4,4.4,1.8,110.7,69,27.2,0.95
"JJ Hickson *
(DEN)",Add,FC,26,6,69,27,11.8,9.2,1.4,0.7,0.7,0.51,0,0.52,3,6.2,1.8,84.3,82,27.1,1
"Avery Bradley
(BOS)",Add,G,23,4,60,30.9,14.8,3.8,1.4,0.2,1.1,0.45,0.4,0.8,0.8,3,1.6,142.1,45,27,0.87
"JJ Redick
(LAC)",Add,G,30,8,35,28.2,15.2,2.1,2.3,0.1,0.8,0.51,0.39,0.92,0.3,1.9,1.2,134.9,52,26.9,0.95
"Markieff Morris
(PHO)",Add,F,25,3,81,26.6,13.8,6,1.8,0.6,0.8,0.51,0.31,0.79,1.7,4.3,1.8,77.9,69,26.9,1.01
"Wilson Chandler
(DEN)",Add,F,27,7,62,30.9,13.6,4.7,1.8,0.5,0.7,0.48,0.35,0.72,0.9,3.8,1.3,143.6,56,26.6,0.86
"Tristan Thompson
(CLE)",Add,F,23,3,82,31.6,11.7,9.2,0.9,0.4,0.5,0.48,0,0.69,3.3,5.9,1.3,109.1,56,26.5,0.84
"Andrea Bargnani *
(NYK)",Add,FC,28,8,42,29.8,13.3,5.3,1.1,1.2,0.3,0.49,0.28,0.82,1.7,3.6,1.4,107.6,56,26.4,0.88
"Robin Lopez
(POR)",Add,C,26,6,82,31.8,11.1,8.5,0.9,1.7,0.3,0.55,0,0.82,4,4.5,1,86.7,76,26.4,0.83
"Paul Pierce
(WAS)",Add,F,36,16,75,28,13.5,4.6,2.4,0.4,1.1,0.51,0.37,0.83,0.3,4.3,2,102.8,71,25.8,0.92
"Randy Foye
(DEN)",Add,G,30,8,81,30.7,13.1,2.9,3.6,0.5,0.8,0.46,0.38,0.85,0.4,2.4,1.8,136.2,40,25.5,0.83
"Manu Ginobili *
(SAS)",Remove,G,37,12,68,22.9,12.3,3,4.3,0.2,1,0.55,0.35,0.85,0.4,2.6,2,89.6,88,25.4,1.11
"DJ Augustin
(DET)",Add,G,26,6,70,27.6,13.3,1.8,4.5,0,0.7,0.43,0.4,0.89,0.2,1.6,1.8,166,38,25.3,0.92
"Shawn Marion
(CLE)",Add,F,36,15,76,31.7,10.4,6.5,1.6,0.5,1.2,0.52,0.36,0.78,1.7,4.8,1.3,135.8,52,24.9,0.79
"Alec Burks
(UTA)",Add,G,23,3,78,28.1,14,3.3,2.7,0.2,0.9,0.48,0.35,0.75,0.8,2.5,1.9,146.4,49,24.9,0.89
"John Henson
(MIL)",Add,FC,23,2,70,26.5,11.1,7.1,1.6,1.7,0.6,0.54,0,0.51,2.4,4.7,1.6,78.3,75,24.7,0.93
"Enes Kanter
(UTA)",Add,C,22,3,80,26.7,12.3,7.5,0.9,0.5,0.4,0.49,0,0.73,2.8,4.7,1.8,90.6,64,24.4,0.91
"Jose Calderon
(NYK)",Add,G,32,9,81,30.5,11.4,2.4,4.7,0.1,0.9,0.46,0.45,0.83,0.4,2,1.3,99.1,64,24.4,0.8
"Tony Wroten
(PHI)",Add,G,21,2,72,24.5,13,3.2,3,0.2,1.1,0.49,0.21,0.64,1,2.2,2.8,137.2,50,24.2,0.99
"Roy Hibbert
(IND)",Add,C,27,6,81,29.7,10.8,6.6,1.1,2.2,0.4,0.44,0.4,0.77,2.5,4.1,1.8,70.5,80,24.2,0.82
"Anderson Varejao
(CLE)",Add,C,31,10,65,27.7,8.4,9.7,2.2,0.6,1.1,0.5,0,0.68,2.9,6.8,1.1,85.1,76,24.2,0.87
"Jeremy Lin
(LAL)",Add,G,26,4,71,28.9,12.5,2.6,4.1,0.4,0.9,0.49,0.36,0.82,0.5,2.2,2.5,121.7,63,24.2,0.84
"DeMarre Carroll
(ATL)",Add,F,28,5,73,32.1,11.1,5.5,1.8,0.3,1.5,0.55,0.36,0.77,1.5,4.1,1.1,130.4,45,24.2,0.75
"Jonas Valanciunas
(TOR)",Add,C,22,2,81,28.2,11.3,8.8,0.7,0.9,0.3,0.53,0,0.76,2.8,6,1.7,70.2,76,24.1,0.86
"Kyle Korver
(ATL)",Add,GF,33,11,71,34,12,4,2.9,0.3,1,0.48,0.47,0.93,0.3,3.7,1.4,124.4,63,24.1,0.71
"Rodney Stuckey
(IND)",Add,G,28,7,73,26.7,13.9,2.3,2.1,0.1,0.7,0.45,0.27,0.84,0.5,1.8,1.7,128.8,50,24.1,0.9
"Ramon Sessions
(*FA)",Add,G,28,7,81,26.7,12.3,2.4,4,0.1,0.6,0.45,0.28,0.81,0.5,2,1.8,202,44,24,0.9
"Vince Carter
(MEM)",Add,GF,37,16,81,24.4,11.9,3.5,2.6,0.4,0.8,0.42,0.39,0.82,0.8,2.7,1.3,124.6,64,23.9,0.98
"Mike Dunleavy
(CHI)",Add,GF,34,13,82,31.5,11.3,4.2,2.3,0.6,0.8,0.47,0.38,0.85,0.6,3.6,1.3,166.3,45,23.7,0.75
"Ersan Ilyasova *
(MIL)",Add,F,27,6,55,26.9,11.2,6.2,1.3,0.1,0.8,0.45,0.28,0.82,1.9,4.3,1.1,133.7,50,23.7,0.88
"Andre Iguodala
(GSW)",Add,GF,30,10,63,32.4,9.3,4.6,4.2,0.3,1.5,0.56,0.35,0.65,0.8,3.8,1.6,88.7,69,23.7,0.73
"Raymond Felton *
(DAL)",Add,G,30,9,65,31.1,9.7,3,5.7,0.4,1.2,0.43,0.32,0.72,0.8,2.2,2,160.7,44,23.5,0.76
"Andray Blatche
(*FA)",Add,FC,28,9,73,22.2,11.2,5.3,1.5,0.5,1,0.49,0.28,0.74,1.6,3.7,1.5,115.8,69,23.4,1.05
"Corey Brewer
(MIN)",Add,GF,28,7,81,32.2,12.3,2.6,1.7,0.4,1.9,0.55,0.28,0.72,0.8,1.8,1.3,165.2,45,23.1,0.72
"Darren Collison
(SAC)",Add,G,27,5,80,25.9,11.4,2.4,3.7,0.2,1.2,0.5,0.38,0.86,0.6,1.8,1.7,113.2,52,22.9,0.89
"Channing Frye
(ORL)",Add,FC,31,9,82,28.2,11.1,5.1,1.2,0.8,0.7,0.51,0.37,0.82,0.9,4.2,1.1,111.7,56,22.8,0.81
"George Hill
(IND)",Add,G,28,6,76,32.1,10.3,3.7,3.5,0.3,1,0.5,0.37,0.81,0.7,3,1.2,105,56,22.8,0.71
"Kendall Marshall
(MIL)",Add,G,23,2,54,29,8,2.9,8.8,0.1,0.9,0.41,0.4,0.53,0.3,2.6,2.8,174.8,56,22.8,0.78
"Tyson Chandler
(DAL)",Add,C,31,13,55,30.3,8.7,9.6,1.1,1.1,0.7,0.6,0,0.63,2.9,6.7,1.3,83.2,75,22.7,0.75
"PJ Tucker
(PHO)",Add,GF,29,3,81,30.7,9.4,6.5,1.7,0.3,1.4,0.45,0.39,0.78,2,4.5,1.3,143.2,40,22.5,0.73
"Andrew Bogut
(GSW)",Add,C,29,9,67,26.4,7.3,10,1.7,1.8,0.7,0.63,0,0.34,2.7,7.3,1.4,83.3,82,22.4,0.85
"Khris Middleton
(MIL)",Add,F,23,2,82,30,12.1,3.8,2.1,0.2,1,0.45,0.41,0.86,0.7,3,1.5,187.2,45,22.2,0.74
"Brandon Bass
(BOS)",Add,F,29,9,82,27.6,11.1,5.7,1.1,0.9,0.4,0.49,0.33,0.86,2,3.8,1.2,151.7,49,22.2,0.8
"Jordan Farmar
(LAC)",Add,G,27,8,41,22.2,10.1,2.5,4.9,0.2,0.9,0.4,0.44,0.75,0.5,2,2.3,154.3,52,22,0.99
"Patrick Beverley
(HOU)",Add,G,26,2,56,31.2,10.2,3.5,2.7,0.4,1.4,0.47,0.36,0.81,1.3,2.2,1.2,140,50,22,0.7
"Amir Johnson
(TOR)",Add,FC,27,9,77,28.8,10.4,6.5,1.5,1.1,0.7,0.59,0.3,0.64,2.2,4.3,1.6,111.3,61,21.9,0.76
"Josh McRoberts *
(MIA)",Add,F,27,7,78,30.3,8.5,4.8,4.3,0.6,0.7,0.52,0.36,0.73,1.1,3.7,1.1,147.8,50,21.9,0.72
"Jordan Crawford
(GSW)",Add,G,25,4,81,22.9,11,2.3,3.5,0.1,0.6,0.47,0.32,0.86,0.3,1.9,1.7,177.8,44,21.8,0.95
"Mario Chalmers
(MIA)",Add,G,28,6,73,29.9,9.8,2.9,4.9,0.2,1.6,0.5,0.39,0.74,0.6,2.4,2.2,140.3,45,21.7,0.73
"Marco Belinelli
(SAS)",Add,G,28,7,80,25.2,11.4,2.8,2.2,0.1,0.6,0.52,0.43,0.85,0.2,2.6,1.2,159.3,57,21.7,0.86
"Caron Butler
(DET)",Add,F,34,12,56,25.3,10.5,4.1,1.5,0.3,0.8,0.4,0.39,0.84,0.4,3.7,1.1,206,33,21.3,0.84
"Matt Barnes
(LAC)",Add,F,34,11,63,27.6,9.9,4.6,2,0.4,0.9,0.55,0.34,0.73,1,3.7,1.3,203,44,21.1,0.77
"Chris Kaman
(POR)",Add,C,32,11,39,18.9,10.4,5.9,1.5,1,0.3,0.51,0,0.76,1.4,4.5,1.9,145.4,52,21.1,1.12
"Jordan Hill
(LAL)",Add,FC,27,5,73,20.6,9.5,7.3,0.7,0.9,0.4,0.55,0,0.69,2.7,4.7,1,79.6,69,21.1,1.03
"Lou Williams
(TOR)",Add,G,27,9,60,24.1,10.4,2.1,3.5,0.1,0.8,0.45,0.34,0.85,0.2,1.9,1.5,192.4,40,21.1,0.87
"Andrew Bynum
(*FA)",Add,C,26,9,26,19.9,8.7,5.6,1.1,1.1,0.2,0.42,0,0.76,2,3.5,1.3,203.2,40,20.7,1.04
"Amare Stoudemire
(NYK)",Add,FC,31,12,65,22.6,11.9,4.9,0.5,0.6,0.4,0.56,0,0.74,1.7,3.2,1.4,118.7,64,20.7,0.92
"Jarrett Jack
(BKL)",Add,G,30,9,80,28.2,9.5,2.8,4.1,0.3,0.7,0.43,0.34,0.84,0.3,2.5,1.7,166.1,45,20.7,0.74
"OJ Mayo
(MIL)",Add,G,26,6,52,25.9,11.7,2.4,2.2,0.2,0.5,0.43,0.37,0.86,0.5,1.9,1.8,152.2,50,20.7,0.8
"Miles Plumlee
(PHO)",Add,FC,26,2,80,24.5,8.1,7.8,0.5,1.1,0.6,0.52,0,0.56,2.5,5.4,1.4,112.4,69,20.4,0.83
"Terrence Ross
(TOR)",Add,GF,23,2,81,26.6,10.9,3.1,1,0.3,0.8,0.46,0.39,0.84,0.5,2.6,1.1,148,56,20.4,0.76
