Player,Watch,P,Age,Exp,G,MPG,PPG,RPG,APG,BPG,SPG,2PT%,3PT%,FT%,ORPG,DRPG,TPG,ADP,O%,FPPG,FPPM
"Kevin Durant
(OKL)",Add,F,25,7,81,38.5,32,7.4,5.5,0.7,1.3,0.55,0.39,0.87,0.7,6.7,3.5,2.1,94,58.9,1.53
"Kevin Love
(CLE)",Add,FC,26,6,77,36.3,26.1,12.5,4.5,0.5,0.8,0.5,0.38,0.82,2.9,9.6,2.5,5.9,95,55.6,1.53
"LeBron James
(CLE)",Add,F,29,11,77,37.7,27.1,6.9,6.3,0.3,1.6,0.62,0.38,0.75,1.1,5.9,3.5,4,94,52,1.38
"Carmelo Anthony *
(NYK)",Add,F,30,11,77,38.7,27.4,8.1,3.1,0.7,1.2,0.47,0.4,0.85,1.9,6.2,2.6,10,95,51.7,1.33
"LaMarcus Aldridge
(POR)",Add,FC,29,8,69,36.2,23.2,11.1,2.6,1,0.9,0.46,0.2,0.82,2.4,8.7,1.8,7.3,95,50.2,1.39
"Stephen Curry
(GSW)",Add,G,26,5,78,36.4,24,4.3,8.5,0.2,1.7,0.51,0.42,0.89,0.6,3.7,3.8,9,94,47.5,1.3
"Blake Griffin
(LAC)",Add,F,25,4,80,35.8,24.1,9.5,3.8,0.6,1.1,0.54,0.27,0.72,2.4,7.1,2.8,8.9,90,47.1,1.31
"James Harden
(HOU)",Add,G,25,5,73,38.1,25.4,4.7,6.1,0.4,1.6,0.52,0.37,0.87,0.8,3.9,3.6,10.6,90,47,1.23
"DeMarcus Cousins
(SAC)",Add,C,24,4,71,32.4,22.7,11.7,2.9,1.3,1.5,0.5,0,0.73,3.1,8.6,3.5,8.8,94,46.4,1.43
"Al Jefferson
(CHA)",Add,C,29,10,73,35.1,21.8,10.8,2.1,1.1,0.9,0.51,0.2,0.69,2.1,8.7,1.7,13.3,94,46.3,1.32
"Russell Westbrook
(OKL)",Add,G,25,6,46,30.6,21.8,5.7,6.9,0.2,1.9,0.48,0.32,0.83,1.2,4.5,3.8,11.7,90,45.2,1.48
"Chris Paul
(LAC)",Add,G,29,9,62,35,19.1,4.3,10.7,0.1,2.5,0.5,0.37,0.86,0.6,3.7,2.3,9,94,44.6,1.28
"Anthony Davis *
(NOR)",Add,FC,21,2,67,35.2,20.8,10,1.6,2.8,1.3,0.52,0.22,0.79,3.1,7,1.6,5.5,94,44.6,1.27
"Paul George *
(IND)",Add,GF,24,4,80,36.3,21.7,6.8,3.5,0.3,1.9,0.46,0.36,0.86,0.8,6,2.8,129.3,57,43.3,1.19
"DeMar DeRozan
(TOR)",Add,GF,25,5,79,38.2,22.7,4.3,4,0.4,1.1,0.45,0.3,0.82,0.6,3.7,2.2,28.7,94,41.8,1.09
"John Wall
(WAS)",Add,G,24,4,82,36.3,19.3,4.1,8.8,0.5,1.8,0.46,0.35,0.8,0.5,3.6,3.6,17.3,94,41.6,1.15
"Kyrie Irving
(CLE)",Add,G,22,3,71,35.2,20.8,3.6,6.1,0.3,1.5,0.46,0.36,0.86,0.7,2.9,2.7,24.3,94,41.1,1.17
"Dirk Nowitzki
(DAL)",Add,F,36,16,80,32.8,21.7,6.2,2.7,0.6,0.9,0.53,0.4,0.9,0.5,5.7,1.5,22.6,95,41,1.25
"Damian Lillard
(POR)",Add,G,24,2,82,35.8,20.7,3.5,5.5,0.3,0.8,0.45,0.39,0.87,0.4,3.1,2.4,23.2,94,39.3,1.1
"Dwight Howard
(HOU)",Add,C,28,10,71,33.7,18.3,12.2,1.8,1.8,0.8,0.59,0.29,0.55,3.3,8.9,3.2,11.3,90,39.2,1.16
"Al Horford *
(ATL)",Add,FC,28,7,29,33.1,18.6,8.4,2.6,1.5,0.9,0.57,0.36,0.68,2.3,6.1,2.2,24.3,94,39,1.18
"Paul Millsap
(ATL)",Add,F,29,8,74,33.5,17.9,8.5,3.1,1.1,1.7,0.49,0.36,0.73,2.1,6.4,2.5,26.1,94,39,1.16
"Pau Gasol *
(CHI)",Add,FC,34,13,60,31.4,17.4,9.7,3.4,1.5,0.4,0.48,0.29,0.74,2.1,7.6,2.4,24.5,94,39,1.24
"Kemba Walker
(CHA)",Add,G,24,3,73,35.8,17.7,4.2,6.1,0.4,1.2,0.42,0.33,0.84,0.5,3.7,2.3,45.4,90,38.1,1.06
"Kyle Lowry
(TOR)",Add,G,28,8,79,36.2,17.9,4.7,7.4,0.2,1.5,0.46,0.38,0.81,1.1,3.6,2.5,30.5,94,38.1,1.05
"Ty Lawson
(DEN)",Add,G,26,5,62,35.9,17.6,3.5,8.8,0.2,1.6,0.46,0.36,0.8,0.7,2.8,3.2,39.8,90,37.9,1.06
"Rudy Gay
(SAC)",Add,F,28,8,73,34.7,20,6,2.9,0.8,1.3,0.48,0.33,0.82,1.5,4.4,3.1,45.7,87,37.9,1.09
"Isaiah Thomas
(PHO)",Add,G,25,3,72,34.6,20.3,2.9,6.3,0.1,1.3,0.5,0.35,0.85,0.7,2.3,3,53.6,94,37.8,1.09
"Goran Dragic
(PHO)",Add,G,28,6,76,35.1,20.3,3.2,5.9,0.3,1.4,0.54,0.41,0.76,0.9,2.3,2.8,34,95,37.7,1.07
"Ryan Anderson *
(NOR)",Add,F,26,6,22,36.1,19.8,6.4,0.8,0.3,0.5,0.46,0.41,0.95,3,3.5,0.9,69.9,82,37.5,1.04
"Zach Randolph
(MEM)",Add,F,33,13,79,34.3,17.4,10.1,2.5,0.3,0.7,0.47,0.1,0.74,3.4,6.7,2.3,37.5,90,37.5,1.09
"Monta Ellis
(DAL)",Add,G,28,9,82,36.9,19,3.6,5.7,0.3,1.7,0.48,0.33,0.79,0.5,3.1,3.2,50.8,88,37.3,1.01
"Michael Carter-Williams *
(PHI)",Add,G,22,1,70,34.5,16.7,6.2,6.3,0.6,1.8,0.44,0.26,0.7,1.4,4.8,3.5,30.7,94,37.2,1.08
"Tim Duncan
(SAS)",Add,FC,38,17,74,29.1,15.1,9.8,3,1.9,0.6,0.49,0,0.73,2.1,7.6,2.1,32.8,94,36.8,1.26
"Josh Smith
(DET)",Add,F,28,10,77,35.5,16.4,6.8,3.3,1.4,1.4,0.46,0.26,0.53,1.3,5.4,2.6,54.3,90,36.6,1.03
"Dwyane Wade
(MIA)",Add,G,32,11,54,32.9,19,4.5,4.7,0.5,1.5,0.56,0.28,0.73,1.1,3.4,3,35.9,94,36.6,1.11
"David Lee
(GSW)",Add,F,31,9,69,33.2,18.2,9.3,2.1,0.4,0.7,0.52,0,0.78,2.7,6.7,2.2,35.3,94,36.3,1.1
"Thaddeus Young
(MIN)",Add,F,26,7,79,34.4,17.9,6,2.3,0.5,2.1,0.5,0.31,0.71,2.1,3.9,2.1,56.4,83,36.2,1.05
"Brook Lopez *
(BKL)",Add,C,26,6,17,31.4,20.7,6,0.9,1.8,0.5,0.57,0,0.82,2.3,3.7,1.6,35.2,94,36,1.15
"Joakim Noah *
(CHI)",Add,C,29,7,80,35.2,12.6,11.3,5.4,1.5,1.2,0.48,0,0.74,3.5,7.7,2.4,22.6,95,35.9,1.02
"Mike Conley
(MEM)",Add,G,26,7,73,33.5,17.2,2.9,6,0.2,1.5,0.48,0.36,0.82,0.6,2.4,2.1,58.9,83,35.5,1.06
"Eric Bledsoe
(PHO)",Add,G,24,4,43,32.9,17.7,4.7,5.5,0.3,1.6,0.52,0.36,0.77,0.6,4.1,3.3,56.5,88,35.5,1.08
