STATS,Player,P,Age,Exp,G,MPG,PPG,RPG,APG,BPG,SPG,2pt,3pt,ft,ORPG,DRPG,TPG,ADP,O,FPPG,FPPM
"Steve Nash *
(LAL)",Remove,G,40,18,16,19.7,6.4,1.8,5.4,0.1,0.4,0.4,0.33,0.92,0.3,1.6,1.9,180.7,43,12.2,0.62
"Danny Granger
(MIA)",Add,F,31,9,41,20.7,8.2,3.2,1,0.4,0.3,0.41,0.34,0.94,0.8,2.5,1.1,162.9,43,12.1,0.59
"Thabo Sefolosha
(ATL)",Add,GF,30,8,61,26,6.3,3.6,1.6,0.3,1.3,0.49,0.32,0.77,0.8,2.8,0.9,192.8,42,12.1,0.46
"DeJuan Blair
(WAS)",Remove,FC,25,5,78,15.6,6.4,4.7,0.9,0.3,0.8,0.54,0,0.64,1.8,2.9,1,174.2,47,12,0.77
"Evan Fournier
(ORL)",Add,G,21,2,76,19.7,8.4,2.7,1.5,0.1,0.4,0.45,0.38,0.76,0.4,2.2,1.3,194,42,11.8,0.6
"Alexis Ajinca
(NOR)",Add,C,26,5,56,17,5.9,4.9,0.7,0.8,0.4,0.55,0,0.84,1.7,3.3,1.1,200.5,35,11.6,0.68
"Cody Zeller
(CHA)",Add,FC,21,1,82,17.2,6,4.3,1.1,0.5,0.5,0.43,0,0.73,1.4,2.9,1.1,159.5,47,11.3,0.66
"Ray McCallum
(SAC)",Remove,G,23,1,42,21.2,6.7,1.9,2.9,0.2,0.5,0.38,0.37,0.74,0.4,1.5,0.9,160.2,35,11.2,0.53
"Gorgui Dieng
(MIN)",Add,C,24,1,59,13.9,4.8,5.1,0.7,0.8,0.5,0.5,1,0.63,1.7,3.3,0.9,111.4,62,11,0.79
"Kenyon Martin
(*FA)",Add,F,36,14,32,19.8,4.3,4.2,1.6,0.8,0.8,0.52,0,0.58,1.1,3.1,0.8,227.7,12,10.8,0.55
"Tayshaun Prince
(MEM)",Add,F,34,12,76,25.6,6,3.1,1.6,0.2,0.5,0.43,0.29,0.57,0.4,2.7,0.5,161.3,20,10.8,0.42
"JaVale McGee *
(DEN)",Remove,C,26,6,5,16,7,3.4,0.4,1.4,0.2,0.44,0,1,2,1.4,1.6,129.4,66,10.8,0.68
"Ed Davis
(LAL)",Remove,FC,25,4,63,15.2,5.7,4.1,0.4,0.7,0.3,0.53,0,0.53,1.5,2.7,0.6,199.6,42,10.5,0.69
"Alan Anderson
(BKL)",Remove,GF,31,4,78,22.7,7.2,2.2,1,0.1,0.6,0.46,0.34,0.78,0.5,1.7,0.8,217.7,20,10.5,0.46
"Gustavo Ayon *
(ATL)",Add,FC,29,3,26,16.5,4.3,4.8,1.1,0.4,1,0.51,0,0.4,1.6,3.2,1.1,208.7,31,10.4,0.63
"Marreese Speights
(GSW)",Remove,FC,27,6,78,12.6,6.5,3.7,0.4,0.4,0.1,0.46,0.26,0.82,1.3,2.4,0.8,178,50,10.4,0.82
"Tyler Zeller
(BOS)",Add,C,24,2,69,15.2,5.8,4.1,0.5,0.6,0.3,0.54,0,0.72,1.5,2.6,0.9,244,39,10.3,0.68
"Darrell Arthur
(DEN)",Remove,F,26,5,68,17.1,5.9,3.1,0.9,0.7,0.6,0.4,0.38,0.85,0.8,2.3,0.9,272.9,24,10.3,0.6
"Reggie Evans
(SAC)",Remove,F,34,12,54,16.6,4,6.2,0.4,0.1,0.7,0.47,0,0.55,2.1,4.1,1.1,179.2,31,10.2,0.61
"Hollis Thompson
(PHI)",Add,F,23,2,77,22.8,6,3.2,0.9,0.2,0.7,0.51,0.4,0.71,0.9,2.3,0.8,122.3,32,10.2,0.45
"CJ Watson
(IND)",Add,G,30,7,63,18.9,6.6,1.6,1.7,0.1,1,0.49,0.37,0.78,0.3,1.3,0.9,263,20,10,0.53
"Andrei Kirilenko
(BKL)",Remove,F,33,12,45,19,5,3.2,1.6,0.4,0.9,0.52,0.2,0.51,1.2,2,1.2,147.5,35,10,0.53
"Chris Wright
(MIL)",Add,F,25,3,7,15.7,6.3,2.3,0.7,0.7,0.6,0.59,0,0.55,1.1,1.1,0.7,115,5,9.9,0.63
"Chase Budinger
(MIN)",Remove,GF,26,5,41,18.4,6.7,2.5,0.8,0,0.5,0.43,0.35,0.82,0.5,2,0.6,221.3,32,9.9,0.54
"Christapher Johnson
(BOS)",Add,F,24,2,40,19.8,6.2,2.4,0.8,0.1,0.7,0.48,0.34,0.86,0.8,1.7,0.6,158.3,12,9.7,0.49
"Donatas Motiejunas
(HOU)",Add,FC,23,2,61,15.6,5.6,3.7,0.6,0.3,0.3,0.52,0.25,0.6,1,2.7,0.8,170.5,43,9.7,0.62
"Anthony Tolliver
(PHO)",Remove,F,29,6,64,20.3,6.1,2.6,0.7,0.2,0.3,0.45,0.41,0.8,0.5,2.1,0.3,255.6,24,9.6,0.47
"ETwaun Moore
(*FA)",Add,G,25,3,79,19.1,6.3,1.7,1.4,0.2,0.8,0.47,0.36,0.76,0.4,1.4,0.7,244.1,24,9.6,0.5
"Thomas Robinson
(POR)",Remove,F,23,2,70,12.5,4.8,4.4,0.5,0.3,0.3,0.48,0,0.56,1.5,2.9,0.8,244.7,42,9.5,0.76
"John Salmons
(NOR)",Remove,GF,34,12,78,22.1,5.2,2.1,1.9,0.2,0.6,0.35,0.39,0.77,0.3,1.8,0.7,217.5,20,9.3,0.42
"Kentavious Caldwell-Pope
(DET)",Add,G,21,1,80,19.8,5.9,2,0.7,0.2,0.9,0.45,0.32,0.77,0.5,1.5,0.4,122.4,42,9.2,0.47
"Kent Bazemore *
(*FA)",Remove,G,25,2,64,14.2,6.3,1.8,1.4,0.2,0.7,0.48,0.34,0.61,0.2,1.7,1.2,265.9,32,9.2,0.65
"Travis Outlaw
(NYK)",Add,F,29,11,63,17,5.4,2.7,0.8,0.3,0.3,0.43,0.35,0.81,0.6,2.1,0.4,249.7,20,9.1,0.54
"Cory Joseph
(SAS)",Add,G,23,3,64,14.6,5.4,1.7,1.8,0.2,0.5,0.5,0.32,0.82,0.5,1.2,0.7,192.7,32,8.9,0.61
"Dorell Wright
(POR)",Remove,F,28,10,68,14.4,5,2.8,0.9,0.2,0.3,0.45,0.34,0.75,0.4,2.4,0.6,195.8,27,8.8,0.61
"Jan Vesely
(*FA)",Add,F,24,3,53,14.6,3.7,3.6,0.4,0.7,1,0.51,0,0.34,1.5,2.1,0.7,249.3,16,8.7,0.6
"Jarvis Varnado
(PHI)",Add,F,26,2,24,14.3,4.1,2.6,0.5,1.2,0.4,0.6,0,0.52,0.8,1.8,0.4,117.4,5,8.5,0.59
"Greg Stiemsma
(*FA)",Add,C,28,3,55,18.3,2.9,4.1,0.7,1,0.6,0.58,0,0.59,1.3,2.8,0.8,219.5,24,8.5,0.46
"Anthony Randolph
(*FA)",Remove,F,25,6,43,12.3,4.8,2.8,0.7,0.4,0.6,0.44,0.3,0.75,0.4,2.4,0.9,220.6,23,8.5,0.69
"Bismack Biyombo
(CHA)",Remove,FC,22,3,77,13.9,2.9,4.8,0.1,1.1,0.1,0.61,0,0.52,1.4,3.4,0.5,153.3,43,8.4,0.6
"Cartier Martin
(DET)",Add,GF,29,6,56,15.5,5.9,1.9,0.6,0.1,0.5,0.46,0.39,0.74,0.2,1.7,0.6,194.6,15,8.4,0.54
"Jae Crowder
(DAL)",Remove,F,24,2,77,16.3,4.6,2.5,0.8,0.3,0.8,0.55,0.33,0.75,0.6,1.9,0.5,240.7,24,8.4,0.51
"Ekpe Udoh
(*FA)",Remove,F,27,4,42,19.1,3.4,3.5,0.7,1,0.4,0.4,0,0.64,1.5,2.1,0.9,260.1,24,8.2,0.43
"Steven Adams
(OKL)",Add,C,21,1,81,14.8,3.3,4.1,0.5,0.7,0.5,0.5,0,0.58,1.8,2.3,0.9,159,47,8.2,0.55
"Ish Smith
(HOU)",Add,G,26,4,70,14.4,3.7,1.8,2.6,0.2,0.7,0.46,0.04,0.56,0.4,1.4,0.9,150.5,15,8.1,0.56
"Earl Clark
(*FA)",Add,F,26,5,53,14.4,4.8,2.6,0.3,0.5,0.3,0.4,0.34,0.65,0.4,2.2,0.6,199.6,16,8,0.56
"Joel Freeland
(POR)",Remove,F,27,2,52,13.9,3.3,4,0.7,0.4,0.2,0.48,0,0.69,1.7,2.3,0.6,242.3,23,8,0.57
"Shane Battier
(*FA)",Remove,F,36,13,72,20.4,4.1,1.9,0.9,0.5,0.7,0.49,0.35,0.65,0.5,1.4,0.3,190.6,12,7.8,0.38
"Jimmer Fredette
(NOR)",Remove,G,25,3,47,11,5.8,1.1,1.4,0.1,0.3,0.46,0.48,0.9,0.2,0.9,1,230.3,23,7.5,0.68
"Hilton Armstrong
(*FA)",Add,FC,29,7,10,8.9,2.5,4.4,0.5,0.3,0.4,0.47,0,0.5,1.8,2.6,0.6,144.7,5,7.5,0.84
"Carl Landry *
(SAC)",Remove,F,30,7,18,12.9,4.2,3.2,0.3,0.1,0.2,0.52,0,0.82,0.8,2.3,0.5,244.7,32,7.4,0.57
"Willie Green
(ORL)",Remove,G,33,11,55,15.8,5,1.4,0.9,0.2,0.4,0.41,0.34,0.82,0.2,1.2,0.6,239.8,5,7.3,0.46
"Anthony Bennett
(MIN)",Add,F,21,1,51,13,4.3,3,0.3,0.2,0.4,0.39,0.25,0.64,1,2.1,0.9,102.9,62,7.3,0.56
"Alonzo Gee
(HOU)",Add,F,27,5,63,16.2,4.1,2.3,0.7,0.2,0.6,0.44,0.32,0.7,0.5,1.8,0.7,193.1,12,7.3,0.45
"Phil Pressey
(BOS)",Add,G,23,1,75,15.1,2.8,1.4,3.2,0.1,0.9,0.34,0.26,0.64,0.3,1.1,1.2,232.4,23,7.3,0.48
"Jeff Ayres
(SAS)",Add,F,27,4,73,13,3.3,3.5,0.8,0.3,0.2,0.58,0,0.69,1.2,2.3,0.9,251.7,16,7.3,0.56
"Toney Douglas
(MIA)",Add,G,28,5,48,13.9,4.2,1.8,1.4,0.1,0.4,0.48,0.3,0.74,0.4,1.4,0.7,263.4,12,7.2,0.52
"Tony Snell
(CHI)",Add,F,22,1,75,16.4,4.6,1.7,0.9,0.2,0.4,0.46,0.32,0.76,0.3,1.4,0.6,178.7,32,7.2,0.44
"Quincy Acy
(NYK)",Remove,F,23,2,61,13.9,2.8,3.5,0.5,0.4,0.4,0.49,0.27,0.66,1.2,2.4,0.5,168.4,27,7.1,0.51
"Nando De-Colo
(*FA)",Remove,G,27,2,43,11.5,4.1,1.7,1.5,0.1,0.5,0.46,0.34,0.89,0.3,1.3,0.8,226.7,12,7.1,0.62
"Marshon Brooks
(*FA)",Add,G,25,3,33,9.6,4.8,1.6,0.7,0.2,0.4,0.44,0.52,0.73,0.3,1.3,0.7,209.6,12,7,0.73
"Daniel Orton
(*FA)",Add,C,24,3,21,12,3.1,2.9,0.7,0.8,0.3,0.45,0,0.77,0.8,2.1,0.9,220.6,4,6.9,0.58
"Jeremy Tyler
(SAC)",Add,FC,23,3,38,10.4,3.8,2.9,0.2,0.5,0.2,0.52,0,0.54,1,1.9,0.7,174,23,6.9,0.66
"CJ McCollum
(POR)",Add,G,22,1,38,12.6,5.3,1.3,0.7,0.1,0.4,0.45,0.38,0.68,0.2,1.1,0.9,164.8,32,6.8,0.54
"Jason Terry *
(SAC)",Add,G,36,15,35,16.3,4.5,1.1,1.6,0,0.4,0.33,0.38,0.67,0.1,0.9,0.8,213.4,5,6.8,0.42
"Charlie Villanueva
(DET)",Remove,F,30,9,20,8.9,4.6,1.7,0.3,0.2,0.2,0.58,0.25,0.57,0.3,1.4,0.4,226.8,8,6.7,0.75
"Will Barton
(POR)",Remove,G,23,2,41,9.5,4,1.8,0.8,0.2,0.2,0.44,0.3,0.81,0.4,1.4,0.4,226.5,23,6.6,0.7
"Darius Morris
(POR)",Remove,G,23,3,24,12.6,4.4,1,1.8,0,0.5,0.47,0.33,0.67,0.3,0.8,1.1,308.5,4,6.6,0.52
"Antawn Jamison
(*FA)",Remove,F,38,16,21,11.5,3.6,2.4,0.3,0.1,0.4,0.36,0.2,0.72,0.4,2,0.3,214,5,6.6,0.57
"Hedo Turkoglu
(*FA)",Add,GF,35,14,38,10.4,3,2.3,0.9,0.3,0.5,0.34,0.44,0.5,0.3,2.1,0.4,196.8,12,6.6,0.64
"Chuck Hayes
(TOR)",Add,F,31,9,60,12.6,2.2,3.5,0.6,0.2,0.6,0.43,0,0.8,1.2,2.4,0.6,271.2,12,6.5,0.52
"Byron Mullens
(*FA)",Remove,FC,25,5,45,9.2,4.2,2,0.3,0.2,0.3,0.53,0.37,0.5,0.5,1.5,0.6,138.2,16,6.5,0.7
"Jason Maxiell
(*FA)",Add,F,31,9,34,14.3,3.2,2.5,0.3,0.6,0.2,0.45,0,0.48,0.8,1.7,0.4,242.7,15,6.4,0.45
"Rudy Gobert
(UTA)",Add,C,22,1,44,9.9,2.4,3.5,0.2,0.9,0.2,0.49,0,0.49,1.2,2.4,0.7,179,35,6.4,0.65
"Matt Bonner
(SAS)",Remove,F,34,10,59,11.8,3.3,2.2,0.5,0.2,0.3,0.47,0.43,0.75,0.3,1.9,0.3,187.3,4,6.3,0.53
"Greg Smith
(DAL)",Remove,C,23,3,10,9.9,3.8,2.7,0,0.2,0.1,0.64,0,0.4,1.1,1.6,0.5,213.2,23,6.3,0.64
"Josh Harrellson
(*FA)",Add,FC,25,3,31,10.1,3,2.5,0.5,0.5,0.2,0.51,0.4,0.71,1,1.5,0.3,238.7,15,6.3,0.62
"Aron Baynes
(SAS)",Remove,C,27,2,51,9.6,3.2,2.8,0.7,0.1,0,0.44,0,0.9,1.1,1.7,0.7,231.5,15,6.1,0.64
"Diante Garrett
(*FA)",Add,G,25,2,70,14.7,3.4,1.4,1.6,0.1,0.6,0.38,0.37,0.83,0.2,1.2,1,65,4,6.1,0.42
"Perry Jones
(OKL)",Add,F,22,2,61,12.6,3.5,1.9,0.4,0.3,0.2,0.51,0.36,0.67,0.5,1.4,0.3,236.3,20,6,0.48
"Greg Oden
(*FA)",Remove,C,26,4,23,9.2,2.9,2.3,0,0.6,0.3,0.55,0,0.57,1,1.3,0.5,154.1,16,5.7,0.62
"Chris Singleton
(*FA)",Add,F,24,3,23,10.7,3.2,2.4,0.3,0.1,0.4,0.37,0.37,0.72,0.8,1.6,0.7,244.5,15,5.6,0.52
"Archie Goodwin
(PHO)",Add,G,20,1,52,10.2,3.7,1.7,0.4,0.2,0.4,0.54,0.14,0.67,0.5,1.2,0.8,202,23,5.6,0.55
"John Lucas
(CLE)",Remove,G,31,2,42,14,3.8,0.9,1,0,0.3,0.35,0.3,0.63,0.3,0.6,0.5,244.1,4,5.5,0.39
"Steve Novak
(UTA)",Remove,F,31,8,48,11.2,3.7,1.2,0.3,0.1,0.2,0.33,0.43,1,0.2,1,0.1,240.8,5,5.4,0.48
"Landry Fields
(TOR)",Remove,F,26,4,28,11.4,2.4,2.1,0.7,0.1,0.4,0.44,0,0.64,0.5,1.6,0.4,216.8,23,5.4,0.47
"Dwight Buycks
(*FA)",Add,G,25,2,14,10.5,3.1,1.6,0.7,0,0.6,0.32,0.29,0.89,0.3,1.4,0.7,168.3,4,5.3,0.5
"Austin Daye
(SAS)",Remove,F,26,5,20,7.5,3.3,1.4,0.4,0.2,0.2,0.39,0.32,0.6,0.3,1.1,0.3,260.9,15,5.2,0.7
"Andre Roberson
(OKL)",Add,FG,22,1,38,10.4,2,2.4,0.4,0.3,0.5,0.56,0.15,0.7,0.9,1.5,0.5,256,20,5.1,0.49
"Aaron Gray
(DET)",Add,C,29,7,36,9.7,1.8,3.1,0.6,0.2,0.3,0.45,0,0.55,1.2,1.9,0.9,255.3,20,5.1,0.53
"Shane Larkin
(NYK)",Add,G,21,1,46,10.7,2.9,0.9,1.5,0,0.6,0.4,0.32,0.64,0.2,0.7,0.8,233,23,5.1,0.48
"Wayne Ellington
(SAC)",Add,G,26,5,42,9.4,3.5,1,0.5,0,0.4,0.45,0.42,0.91,0.2,0.8,0.3,275.1,5,5.1,0.54
"Eric Maynor
(*FA)",Remove,G,27,5,31,10.5,2.6,1.3,1.7,0.1,0.3,0.31,0.32,0.55,0.3,1,0.9,292.5,5,5,0.48
"John Jenkins *
(ATL)",Add,G,23,2,13,12.1,3.1,1.7,0.8,0.1,0.1,0.5,0.22,1,0.2,1.5,0.8,230,15,4.9,0.41
"Roger Mason-Jr
(*FA)",Add,G,34,9,25,10.4,3,0.9,0.8,0,0.2,0.42,0.36,1,0,0.8,0.3,218.5,4,4.6,0.44
"Marquis Teague
(BKL)",Add,G,21,2,39,11.2,2.7,1,1.5,0.1,0.2,0.33,0.28,0.74,0,1,1,286.4,16,4.6,0.41
"Peyton Siva
(*FA)",Add,G,23,1,21,10.6,2.6,0.7,1.6,0,0.4,0.33,0.29,0.73,0.1,0.6,0.9,318.6,12,4.5,0.43
"Jamaal Tinsley
(*FA)",Remove,G,36,11,8,13.8,1.1,1.4,2.9,0,0.2,0.6,0.07,0,0.3,1.1,1.1,261.7,4,4.5,0.33
"Gal Mekel
(DAL)",Add,G,26,1,31,9.4,2.4,0.9,2,0,0.1,0.38,0.25,0.67,0.2,0.7,1,236.3,5,4.4,0.47
"Victor Claver
(POR)",Remove,F,26,2,21,8.7,2.2,1.9,0.6,0.1,0.1,0.58,0.17,0.91,0.4,1.4,0.5,170,4,4.4,0.51
"Alex Len *
(PHO)",Add,C,21,1,42,8.6,2,2.4,0.1,0.4,0.1,0.42,0,0.65,0.9,1.4,0.6,172,43,4.4,0.51
"Garrett Temple
(WAS)",Remove,G,28,4,65,9.8,2.1,1,1.1,0.2,0.5,0.4,0.21,0.7,0.3,0.7,0.6,237.6,4,4.3,0.44
"Reggie Bullock
(LAC)",Add,G,23,1,41,9.6,2.8,1.3,0.3,0,0.2,0.44,0.3,0.78,0.3,1,0.3,204.9,12,4.3,0.45
"Otto Porter
(WAS)",Add,F,21,1,34,9.4,2.3,1.7,0.3,0,0.2,0.41,0.19,0.67,0.6,1.1,0.4,125,39,4.1,0.44
"Luigi Datome
(DET)",Remove,F,26,1,33,7.1,2.5,1.4,0.3,0,0.2,0.47,0.18,0.8,0.4,1,0.3,184.3,5,4.1,0.58
"Ryan Hollins
(*FA)",Remove,C,29,8,61,8,2.3,1.5,0.1,0.5,0.1,0.74,0,0.63,0.5,1,0.5,290.5,12,4.1,0.52
"Donald Sloan
(IND)",Add,G,26,3,48,8.2,2.3,0.9,1,0,0.2,0.45,0.24,0.6,0.1,0.8,0.5,162.4,4,4,0.49
"Jared Cunningham
(*FA)",Add,G,23,2,10,7.4,2.4,0.5,0.8,0,0.3,0.36,0.17,0.81,0,0.5,0.2,175.8,5,3.8,0.51
"Orlando Johnson
(*FA)",Add,G,25,2,44,8.9,2.3,1.2,0.5,0,0.1,0.41,0.19,0.73,0.2,1,0.3,235.3,5,3.8,0.43
"Brandon Rush
(GSW)",Add,G,29,6,38,11.1,2.1,1.2,0.6,0.2,0.1,0.33,0.34,0.6,0.1,1,0.5,234.8,12,3.7,0.33
"Solomon Hill
(IND)",Add,F,23,1,27,8.4,1.7,1.5,0.4,0.1,0.2,0.59,0.3,0.86,0.3,1.2,0.5,147.8,24,3.5,0.42
"Shannon Brown
(MIA)",Remove,G,28,8,24,9.2,2.3,1.1,0.3,0,0.5,0.38,0,0.68,0.3,0.8,0.7,220.6,8,3.5,0.38
"Allen Crabbe
(POR)",Add,G,22,1,14,6.9,2.4,0.6,0.4,0.1,0.1,0.32,0.43,0.75,0.1,0.6,0.2,242.3,4,3.4,0.49
"Stephen Jackson
(*FA)",Add,GF,36,14,9,11.8,1.7,1.1,0.6,0.1,0.7,0.42,0.07,0.5,0.2,0.9,0.7,284.6,5,3.4,0.29
"Jamaal Franklin
(MEM)",Add,G,23,1,20,8.1,2,1.1,0.3,0.1,0.2,0.39,0.45,1,0.2,1,0.5,246.5,12,3.2,0.4
"Seth Curry
(*FA)",Add,G,24,1,2,6.5,1.5,0.5,0,0,1,0,1,0,0,0.5,0,38.3,5,3,0.46
"Andris Biedrins
(*FA)",Remove,FC,28,10,6,7.3,0.5,2.8,0,0,0,1,0,0.17,0.3,2.5,0.3,220.2,5,3,0.41
"Hasheem Thabeet
(PHI)",Remove,C,27,5,23,8.4,1.2,1.7,0,0.4,0.2,0.57,0,0.2,0.4,1.3,0.6,266.7,8,2.9,0.35
"Joel Anthony
(BOS)",Add,C,32,7,28,6.6,0.9,1.4,0.1,0.4,0.1,0.38,0,0.33,0.5,0.8,0.1,136.2,5,2.8,0.42
"Tony Mitchell
(DET)",Add,F,22,1,11,4.2,1.4,1.2,0.1,0.2,0.1,0.4,1,0.57,0.8,0.4,0.2,215.3,5,2.7,0.65
"Bernard James
(DAL)",Add,F,29,2,28,5.1,1,1.5,0.1,0.3,0.1,0.5,0,0.55,0.5,1,0.4,261.3,5,2.6,0.51
"Jason Collins
(*FA)",Add,C,35,13,20,8.7,1.2,1,0.2,0,0.4,0.52,0,0.75,0.4,0.6,0.4,251.4,4,2.5,0.29
"Hamady Ndiaye
(*FA)",Add,C,27,4,11,6.6,0.5,1.5,0.3,0.4,0,0.33,0,0,0.5,1.1,0.3,61,4,2.5,0.38
"AJ Price
(*FA)",Add,G,27,5,26,3.8,1.7,0.4,0.5,0,0,0.54,0.27,0,0,0.3,0.3,279.1,4,2.3,0.6
"Nemanja Nedovic
(GSW)",Add,G,23,1,21,6.7,1.2,0.7,0.6,0,0,0.24,0.17,0.88,0.1,0.6,0.6,258.5,4,2,0.3
"Ryan Gomes
(*FA)",Add,F,32,9,5,6.6,1.2,0.8,0.2,0,0,0.5,0,0,0,0.8,0.2,234.9,4,2,0.3
"Ronnie Brewer
(*FA)",Add,G,29,8,20,7.9,0.4,0.7,0.5,0,0.3,0.29,0.13,0,0.1,0.6,0.1,204.6,4,1.8,0.23
"Viacheslav Kravtsov
(*FA)",Add,C,27,2,18,3.3,1.1,0.9,0.1,0.1,0,0.53,0,0.5,0.5,0.4,0.3,249.4,4,1.8,0.54
"Erik Murphy
(CLE)",Add,F,23,1,18,3.3,0.3,0.4,0.1,0.2,0,0.33,0,0,0.1,0.3,0.1,198.5,4,1,0.3
"Royce White
(*FA)",Add,F,23,2,3,3,0,0,0,0,0,0,0,0,0,0,0,249.6,4,0,0
