STATS,Player,P,Age,Exp,G,MPG,PPG,RPG,APG,BPG,SPG,2pt,3pt,ft,ORPG,DRPG,TPG,ADP,O,FPPG,FPPM
"Enes Kanter
(UTA)",Remove,C,22,3,80,26.7,12.3,7.5,0.9,0.5,0.4,0.49,0,0.73,2.8,4.7,1.8,87.8,66,19.8,0.74
"Avery Bradley
(BOS)",Remove,G,23,4,60,30.9,14.8,3.8,1.4,0.2,1.1,0.45,0.4,0.8,0.8,3,1.6,142.4,43,19.7,0.64
"Roy Hibbert
(IND)",Remove,C,27,6,81,29.7,10.8,6.6,1.1,2.2,0.4,0.44,0.4,0.77,2.5,4.1,1.8,67.8,78,19.3,0.65
"JJ Redick
(LAC)",Remove,G,30,8,35,28.2,15.2,2.1,2.3,0.1,0.8,0.51,0.39,0.92,0.3,1.9,1.2,135,51,19.3,0.68
"DeMarre Carroll
(ATL)",Add,F,28,5,73,32.1,11.1,5.5,1.8,0.3,1.5,0.55,0.36,0.77,1.5,4.1,1.1,130.3,43,19.2,0.6
"Alec Burks
(UTA)",Remove,G,23,3,78,28.1,14,3.3,2.7,0.2,0.9,0.48,0.35,0.75,0.8,2.5,1.9,146.8,47,19.1,0.68
"Randy Foye
(DEN)",Add,G,30,8,81,30.7,13.1,2.9,3.6,0.5,0.8,0.46,0.38,0.85,0.4,2.4,1.8,136.3,39,19.1,0.62
"Shawn Marion
(CLE)",Add,F,36,15,76,31.7,10.4,6.5,1.6,0.5,1.2,0.52,0.36,0.78,1.7,4.8,1.3,135.5,51,19,0.6
"Manu Ginobili *
(SAS)",Remove,G,37,12,68,22.9,12.3,3,4.3,0.2,1,0.55,0.35,0.85,0.4,2.6,2,91.4,89,18.8,0.82
"Kyle Korver
(ATL)",Remove,GF,33,11,71,34,12,4,2.9,0.3,1,0.48,0.47,0.93,0.3,3.7,1.4,127.1,62,18.7,0.55
"Amir Johnson
(TOR)",Remove,FC,27,9,77,28.8,10.4,6.5,1.5,1.1,0.7,0.59,0.3,0.64,2.2,4.3,1.6,111.5,59,18.7,0.65
"Ersan Ilyasova *
(MIL)",Add,F,27,6,55,26.9,11.2,6.2,1.3,0.1,0.8,0.45,0.28,0.82,1.9,4.3,1.1,134.5,47,18.6,0.69
"DJ Augustin
(DET)",Remove,G,26,6,70,27.6,13.3,1.8,4.5,0,0.7,0.43,0.4,0.89,0.2,1.6,1.8,166.3,35,18.6,0.67
"Andre Iguodala
(GSW)",Remove,GF,30,10,63,32.4,9.3,4.6,4.2,0.3,1.5,0.56,0.35,0.65,0.8,3.8,1.6,86.3,69,18.3,0.56
"Andray Blatche
(*FA)",Remove,FC,28,9,73,22.2,11.2,5.3,1.5,0.5,1,0.49,0.28,0.74,1.6,3.7,1.5,116.8,69,18.2,0.82
"Jose Calderon
(NYK)",Add,G,32,9,81,30.5,11.4,2.4,4.7,0.1,0.9,0.46,0.45,0.83,0.4,2,1.3,97.8,62,18.2,0.6
"Jeremy Lin
(LAL)",Remove,G,26,4,71,28.9,12.5,2.6,4.1,0.4,0.9,0.49,0.36,0.82,0.5,2.2,2.5,123,62,18.1,0.63
"Raymond Felton *
(DAL)",Add,G,30,9,65,31.1,9.7,3,5.7,0.4,1.2,0.43,0.32,0.72,0.8,2.2,2,160.7,42,18,0.58
