FAN,STATS,Player,P,Age,Exp,G,MPG,PPG,RPG,APG,BPG,SPG,2pt,3pt,ft,ORPG,DRPG,TPG,ADP,O,FPPG,FPPM
MAC,"Marcin Gortat
(WAS)",Add,C,30,7,66,32,15.4,10,0.9,1.5,0.7,0.56,0,0.65,2.8,7.2,1.4,50.7,87,35.6,1.11
,"Luol Deng
(MIA)",Add,F,29,10,54,39.5,15.3,6.5,2.9,0.7,1,0.43,0.37,0.77,1.4,5.1,1.8,65.8,83,35.5,0.9
BJ,"Rajon Rondo
(BOS)",Add,G,28,8,52,36.8,11.9,4.8,11.7,0.1,1.8,0.46,0.21,0.6,1.2,3.7,3.7,40.1,90,35.4,0.96
IP�,"Ryan Anderson *
(NOR)",Add,F,26,6,61,32.2,16.1,7.7,0.9,0.4,0.8,0.5,0.39,0.88,3.7,4,0.9,69.9,82,35.3,1.1
,"Amare Stoudemire
(NYK)",Add,FC,31,12,47,32.9,17.5,7.8,1.1,1,0.8,0.49,0.24,0.77,2.3,5.6,2.4,118.7,64,35.2,1.07
GOO,"Greg Monroe
(DET)",Add,FC,24,4,66,31.5,15.4,9.7,2.3,0.7,1.3,0.52,0,0.74,3.6,6,2.4,37.6,88,35.2,1.11
,"Marcus Thornton
(BOS)",Add,G,27,5,52,34.2,18.3,3.6,1.9,0.2,1.3,0.5,0.35,0.87,1.6,2,1.6,248.5,38,35.1,1.03
IPA,"Ty Lawson
(DEN)",Add,G,26,5,61,34.9,16.3,3.7,6.5,0.1,1.3,0.53,0.37,0.82,0.9,2.8,2.4,39.8,90,34.9,1
SPR,"Tyreke Evans *
(NOR)",Add,GF,24,5,63,34.2,16.5,4.6,4.5,0.5,1.3,0.49,0.2,0.78,1,3.6,2.7,64.5,83,34.1,1
ENG,"Carlos Boozer
(LAL)",Add,F,32,12,66,29.5,15,8.5,1.9,0.4,1,0.53,0,0.69,1.7,6.8,1.7,80.9,87,34,1.15
,"Kris Humphries
(WAS)",Add,FC,29,10,62,34.9,13.8,11,1.5,1.2,0.8,0.48,0,0.75,3.8,7.2,1.9,134.5,57,33.7,0.97
VIS,"Kyle Lowry
(TOR)",Add,G,28,8,47,32.1,14.3,4.6,6.6,0.3,1.6,0.43,0.37,0.86,0.8,3.7,2.8,30.5,94,33.6,1.04
VI�,"Brook Lopez *
(BKL)",Add,C,26,6,5,27.2,19.2,3.6,1.2,0.8,0.2,0.49,0,0.63,1.6,2,1.2,35.2,94,33.4,1.23
MAC,"Stephen Curry
(GSW)",Add,G,26,5,25,29.1,15.3,3.5,5.5,0.3,1.6,0.51,0.45,0.81,0.6,2.9,2.6,9,94,33.2,1.14
,"Andre Iguodala
(GSW)",Add,GF,30,10,62,35.6,12.4,6.1,5.5,0.5,1.7,0.48,0.39,0.62,0.9,5.2,1.9,88.7,69,33.2,0.93
,"Jarrett Jack
(BKL)",Add,G,30,9,45,34,15.6,3.9,6.3,0.2,0.7,0.48,0.35,0.87,0.5,3.4,2.4,166.1,45,33.1,0.98
PN,"James Harden
(HOU)",Add,G,25,5,62,31.4,16.8,4.1,3.7,0.2,1,0.58,0.39,0.85,0.5,3.6,2.2,10.6,90,32.4,1.03
,"Andrew Bogut
(GSW)",Add,C,29,9,12,30.4,11.3,8.3,2.6,2,1,0.45,0,0.61,1.8,6.5,2,83.3,82,32.1,1.06
BJ,"Roy Hibbert
(IND)",Add,C,27,6,65,29.8,12.8,8.8,1.7,2,0.5,0.5,0,0.71,3.3,5.5,2,70.5,80,32,1.07
,"Kevin Martin
(MIN)",Add,G,31,10,40,31.6,17.1,2.6,2.8,0.1,0.7,0.46,0.35,0.89,0.3,2.3,1.8,91.4,68,31.7,1
MAC,"Mike Conley
(MEM)",Add,G,26,7,61,35.6,12.9,2.6,6.6,0.2,2.2,0.45,0.38,0.86,0.4,2.2,2,58.9,83,31.5,0.88
,"Luis Scola
(IND)",Add,FC,34,7,66,31.3,15.5,6.5,2.1,0.4,0.5,0.49,0,0.77,1.8,4.6,2.3,135.2,52,31.3,1
VIS,"Jeremy Lin
(LAL)",Add,G,26,4,35,26.9,14.6,3.1,6.1,0.3,1.6,0.48,0.32,0.8,0.5,2.5,3.6,121.7,63,31,1.15
,"Danilo Gallinari *
(DEN)",Add,F,26,6,43,31.4,14.6,4.7,2.7,0.5,1,0.47,0.33,0.87,0.7,4,1.6,99.1,52,30.9,0.99
,"Ersan Ilyasova *
(MIL)",Add,F,27,6,60,27.6,13,8.8,1.2,0.7,0.7,0.5,0.46,0.78,3.3,5.6,1.3,133.7,50,30.9,1.12
,"Drew Gooden
(WAS)",Add,FC,32,12,56,26.2,13.7,6.5,2.6,0.6,0.8,0.45,0.29,0.85,2.3,4.2,1.9,152.7,44,30.8,1.17
,"Steve Nash *
(LAL)",Add,G,40,18,62,31.6,12.5,3,10.7,0.1,0.6,0.58,0.39,0.89,0.4,2.6,3.7,180.7,45,30.7,0.97
,"Chris Kaman
(POR)",Add,C,32,11,47,29.3,13.1,7.7,2.1,1.6,0.5,0.45,0,0.79,1.9,5.8,2.7,145.4,52,30.5,1.04
,"Nene Hilario
(WAS)",Add,FC,32,12,39,28.5,13.7,7.5,2.1,1,1.1,0.54,0,0.67,1.6,5.8,2.5,68.3,88,30.5,1.07
VI�,"DeMar DeRozan
(TOR)",Add,GF,25,5,63,35,16.7,3.3,2,0.3,0.8,0.44,0.26,0.81,0.6,2.7,2,28.7,94,30.4,0.87
,"Jason Terry *
(SAC)",Add,G,37,15,63,31.7,15.1,2.4,3.6,0.2,1.2,0.47,0.38,0.88,0.3,2.1,2,213.4,6,30.3,0.95
ST.,"Ricky Rubio
(MIN)",Add,G,23,3,41,34.2,10.6,4.2,8.2,0.2,2.2,0.36,0.34,0.8,0.5,3.7,3.2,57.5,94,30.2,0.88
,"Jrue Holiday *
(NOR)",Add,G,24,5,65,33.8,13.5,3.3,4.5,0.3,1.6,0.44,0.38,0.78,0.9,2.4,2.1,59.5,90,30.1,0.89
,"Lou Williams
(TOR)",Add,G,27,9,64,26.3,14.9,2.4,3.5,0.3,0.8,0.43,0.36,0.81,0.5,2,1.1,192.4,40,30.1,1.14
,"Anderson Varejao
(CLE)",Add,C,31,10,26,30.2,10.4,11,1.7,0.7,1.3,0.52,0,0.67,4.2,6.8,1.7,85.1,76,29.9,0.99
VAL,"Al Horford *
(ATL)",Add,FC,28,7,11,31.6,12.4,7,2.3,1.3,0.9,0.56,0,0.73,2.4,4.6,1.5,24.3,94,29.8,0.94
SIX,"Joakim Noah *
(CHI)",Add,C,29,7,64,30.4,10.2,9.8,2.5,1.4,0.6,0.51,0,0.75,3.8,6,1.4,22.6,95,29.7,0.98
ST.,"David West
(IND)",Add,F,34,11,66,29.2,12.8,6.6,2.1,0.7,0.8,0.49,0.22,0.81,1.8,4.8,1.4,64.5,88,29.5,1.01
,"Gerald Henderson *
(CHA)",Add,GF,26,5,55,33.3,15.1,4.1,2.3,0.4,0.9,0.48,0.23,0.76,1.2,2.9,1.8,119.8,45,29.3,0.88
ILH,"Nicolas Batum
(POR)",Add,GF,25,6,59,30.4,13.9,4.6,1.4,1,1,0.5,0.39,0.84,1.4,3.2,1.5,47.9,88,28.8,0.95
,"Elton Brand
(*FA)",Add,FC,35,15,60,28.9,11,7.2,1.6,1.6,1,0.49,0,0.73,2.4,4.7,1.1,247,38,28.7,1
,"Jordan Crawford
(GSW)",Add,G,25,4,64,27.4,14.7,2.6,3,0.1,0.9,0.45,0.29,0.79,0.7,1.9,2.2,177.8,44,28.6,1.04
SPR,"Paul George *
(IND)",Add,GF,24,4,66,29.6,12.1,5.6,2.4,0.6,1.6,0.47,0.38,0.8,0.8,4.8,1.8,129.3,57,28.4,0.96
,"Tyson Chandler
(DAL)",Add,C,31,13,62,33.1,11.1,9.8,0.9,1.4,0.9,0.68,0,0.68,3.4,6.5,1.6,83.2,75,28.4,0.86
FSA,"Arron Afflalo
(DEN)",Add,GF,28,7,62,33.7,15.2,3.2,2.4,0.2,0.6,0.5,0.4,0.8,0.6,2.5,1.4,84.6,69,28.3,0.84
,"Jose Calderon
(NYK)",Add,G,32,9,53,33.9,10.5,3,8.8,0.1,0.9,0.5,0.37,0.88,0.4,2.7,2,99.1,64,28.3,0.83
,"JR Smith
(NYK)",Add,G,29,10,35,27.6,12.2,4,2.3,0.2,1.6,0.47,0.33,0.7,0.9,3.1,1.4,106.3,61,28.3,1.02
,"Rodney Stuckey
(IND)",Add,G,28,7,55,29.9,14.8,2.6,3.8,0.2,0.8,0.45,0.32,0.83,0.7,1.9,1.9,128.8,50,28.1,0.94
BJ,"Zach Randolph
(MEM)",Add,F,33,13,28,26.3,11.6,8,1.7,0.1,0.8,0.47,0.25,0.66,2.8,5.3,1.4,37.5,90,28.1,1.07
,"Wes Matthews
(POR)",Add,GF,27,5,66,33.7,13.7,3.4,1.7,0.2,1.5,0.43,0.38,0.86,0.8,2.5,1.1,99.3,61,27.9,0.83
VAL,"Jeff Teague
(ATL)",Add,G,26,5,66,33.1,12.6,2.4,4.9,0.6,1.6,0.52,0.34,0.76,0.3,2.1,2,63.4,82,27.8,0.84
,"Tayshaun Prince
(MEM)",Add,F,34,12,63,33.2,12.7,4.5,2.4,0.5,0.4,0.43,0.36,0.77,1.1,3.3,1.2,161.3,18,27.8,0.84
,"JaVale McGee *
(DEN)",Add,C,26,6,61,25.1,11.3,7.8,0.5,2.2,0.6,0.56,0,0.46,2.7,5.1,1.4,126.4,64,27.7,1.1
,"Shawn Marion
(CLE)",Add,F,36,15,63,30.5,10.6,7.4,2.1,0.6,1.1,0.46,0.29,0.8,2.3,5.1,1.6,135.8,52,27.6,0.9
SAN,"Nikola Pekovic
(MIN)",Add,C,28,4,47,26.9,13.9,7.4,0.7,0.7,0.6,0.56,0,0.74,3.9,3.5,1.9,43.6,90,27.6,1.02
THU,"Manu Ginobili *
(SAS)",Remove,G,37,12,34,23.3,12.9,3.4,4.4,0.4,0.7,0.62,0.41,0.87,0.5,2.9,1.9,89.6,88,27.5,1.18
,"Jamal Crawford
(LAC)",Add,G,34,14,60,26.9,13.9,2,3.2,0.2,0.9,0.43,0.31,0.93,0.3,1.7,1.9,85.5,69,27.5,1.02
BH,"Thaddeus Young
(MIN)",Add,F,26,7,63,27.9,12.8,5.2,1.2,0.7,1,0.51,0.25,0.77,2.2,3,0.9,56.4,83,27.5,0.99
,"Raymond Felton *
(DAL)",Add,G,30,9,60,31.8,11.4,2.5,6.5,0.2,1.3,0.45,0.31,0.81,0.5,2,2.8,160.7,44,27.4,0.86
NEG,"Kemba Walker
(CHA)",Add,G,24,3,66,27.1,12.1,3.5,4.4,0.3,0.9,0.39,0.31,0.79,0.5,3.1,1.8,45.4,90,27.3,1.01
,"Brandon Bass
(BOS)",Add,F,29,9,58,31.6,12.5,6.2,0.9,0.9,0.6,0.48,0,0.82,1.6,4.6,1.1,151.7,49,27.2,0.86
,"Trevor Ariza
(HOU)",Add,F,29,10,41,32.9,10.9,5.2,3.3,0.6,1.7,0.44,0.33,0.77,1,4.2,1.9,86.7,75,27.1,0.82
,"Jameer Nelson
(DAL)",Add,G,32,10,57,30,11.9,3.2,5.7,0.1,0.7,0.46,0.38,0.81,0.5,2.7,2.4,132.9,52,27.1,0.9
LAV,"Serge Ibaka
(OKL)",Add,FC,24,5,66,27.1,9.1,7.5,0.4,3.7,0.5,0.54,0.33,0.66,2.9,4.6,1.2,26.8,95,27,0.99
,"OJ Mayo
(MIL)",Add,G,26,6,66,26.9,12.6,3.2,2.6,0.3,1.1,0.43,0.36,0.77,0.5,2.7,1.9,152.2,50,26.6,0.99
MAC,"Spencer Hawes
(LAC)",Add,C,26,7,37,24.9,9.6,7.3,2.6,1.3,0.4,0.5,0.25,0.73,2.1,5.2,1.5,80.9,80,26.3,1.05
,"Mo Williams
(MIN)",Add,G,31,11,52,28.3,13.2,1.9,3.1,0.1,1,0.45,0.39,0.9,0.4,1.5,1.7,193.8,38,26.3,0.93
BH,"Brandon Knight
(MIL)",Add,G,22,3,66,32.3,12.8,3.2,3.8,0.2,0.7,0.43,0.38,0.76,0.5,2.7,2.6,70.8,75,26.2,0.81
,"Channing Frye
(ORL)",Add,FC,31,9,64,26,10.5,5.9,1.4,1.1,0.7,0.47,0.35,0.89,1.1,4.8,1,111.7,56,26.2,1.01
FSA,"Goran Dragic
(PHO)",Add,G,28,6,66,26.5,11.7,2.5,5.3,0.2,1.3,0.53,0.34,0.81,0.8,1.7,2.4,34,95,26.1,0.98
,"Jason Richardson *
(PHI)",Add,G,33,13,54,29.4,11.6,3.6,2,0.4,1,0.44,0.37,0.59,0.7,2.9,1.1,251.6,6,25.8,0.88
,"Nick Young
(LAL)",Add,GF,29,7,62,27.9,14.2,2.1,0.9,0.3,0.7,0.43,0.37,0.85,0.5,1.6,1.3,110.5,63,25.6,0.92
,"Marshon Brooks
(*FA)",Add,G,25,3,56,29.5,12.6,3.6,2.3,0.3,0.9,0.46,0.31,0.76,1.3,2.3,2.1,209.6,11,25.6,0.87
,"Hedo Turkoglu
(*FA)",Add,GF,35,14,53,31.3,10.9,3.8,4.4,0.3,0.8,0.48,0.35,0.71,0.5,3.3,2.7,196.8,11,25.5,0.82
CAM,"Gordon Hayward
(UTA)",Add,GF,24,4,66,30.6,11.8,3.5,3.1,0.6,0.8,0.5,0.35,0.83,0.9,2.6,1.7,50.2,87,25.4,0.83
,"Ramon Sessions
(*FA)",Add,G,28,7,64,26.6,11.3,3.3,5.5,0,0.7,0.43,0.44,0.78,0.5,2.8,2.2,202,44,25.3,0.95
,"DJ Augustin
(DET)",Add,G,26,6,48,29.4,11.1,2.3,6.4,0,0.8,0.4,0.34,0.88,0.5,1.8,2.3,166,38,25,0.85
,"JJ Barea
(MIN)",Add,G,30,8,41,25.1,11.3,2.8,5.7,0,0.5,0.41,0.37,0.78,0.3,2.4,2.5,205.3,49,24.9,0.99
BEL,"Isaiah Thomas
(PHO)",Add,G,25,3,63,26.3,11.9,2.7,4.2,0.1,0.8,0.49,0.38,0.83,0.8,1.9,1.7,53.6,94,24.9,0.95
,"Gerald Green
(PHO)",Add,GF,28,7,31,25.2,12.9,3.5,1.1,0.5,0.9,0.53,0.39,0.75,0.5,3,1.8,110.6,69,24.8,0.99
,"Mike Dunleavy
(CHI)",Add,GF,34,13,55,26.2,12.2,3.7,2.1,0.1,0.5,0.52,0.4,0.81,0.5,3.2,1.1,166.3,45,24.8,0.94
,"Devin Harris
(DAL)",Add,G,31,10,63,27.7,11.3,1.8,5,0.2,1,0.5,0.36,0.75,0.2,1.6,1.9,194.2,38,24.7,0.89
,"Caron Butler
(DET)",Add,F,34,12,63,29.7,12,3.7,1.2,0.1,0.8,0.44,0.36,0.81,0.7,3,1.2,206,33,24.7,0.83
MAC,"Kenneth Faried
(DEN)",Add,F,24,3,46,22.6,10.2,7.7,0.8,1,0.7,0.59,0,0.66,3.1,4.6,1.2,44.4,83,24.6,1.09
,"Nate Robinson *
(DEN)",Add,G,30,9,51,23.4,11.2,2,4.5,0,1.2,0.46,0.36,0.83,0.3,1.7,1.5,201.4,49,24.6,1.05
,"Emeka Okafor
(*FA)",Add,C,31,10,27,28.9,9.9,7.9,0.9,1,0.6,0.53,0,0.51,2.6,5.3,1.4,137.5,19,24.2,0.84
SIX,"Klay Thompson
(GSW)",Add,G,24,3,66,24.4,12.5,2.4,2,0.3,0.7,0.46,0.41,0.87,0.4,2.1,1.6,76.8,80,23.9,0.98
,"Darren Collison
(SAC)",Add,G,27,5,60,31.3,10.3,3.1,4.8,0.2,0.8,0.45,0.36,0.83,0.5,2.6,1.9,113.2,52,23.8,0.76
PRO,"Chandler Parsons
(DAL)",Add,F,25,3,62,29.1,9.7,4.8,2.2,0.5,1.2,0.51,0.34,0.55,1.5,3.4,1.3,61.1,90,23.7,0.82
,"Dorell Wright
(POR)",Add,F,28,10,61,27,10.3,4.6,1.5,0.4,1,0.5,0.36,0.82,1,3.6,0.8,195.8,26,23.7,0.88
,"Courtney Lee
(MEM)",Add,G,28,6,58,30.4,11.4,2.7,1.5,0.4,1.2,0.45,0.4,0.83,0.4,2.3,1.1,217.5,38,23.5,0.77
,"Alonzo Gee
(HOU)",Add,F,27,5,63,29,10.5,5.1,1.8,0.3,1.3,0.44,0.32,0.79,1.6,3.5,1.8,193.1,11,23.4,0.81
,"Evan Turner
(BOS)",Add,GF,25,4,65,26.4,9.4,5.8,2.8,0.3,0.6,0.47,0.22,0.68,0.4,5.4,1.6,97.5,68,23.4,0.89
,"Marvin Williams
(CHA)",Add,F,28,9,57,26.3,10.1,5.2,1.2,0.3,0.8,0.45,0.39,0.79,1.3,3.8,0.7,192.2,38,23.3,0.89
,"Carl Landry *
(SAC)",Add,F,30,7,41,24.4,12.5,5.2,0.9,0.3,0.3,0.51,0,0.8,1.9,3.3,1.6,244,37,23.2,0.95
,"Marco Belinelli
(SAS)",Add,G,28,7,66,29.8,11.8,2.6,1.5,0.1,0.7,0.45,0.38,0.78,0.3,2.3,1,159.3,57,23,0.77
,"Randy Foye
(DEN)",Add,G,30,8,65,25.9,11,2.1,2.2,0.4,0.7,0.41,0.39,0.86,0.4,1.7,1.1,136.2,40,22.9,0.89
,"JJ Redick
(LAC)",Add,G,30,8,65,27.1,11.6,2.3,2.5,0.1,0.4,0.43,0.42,0.91,0.3,2,1,134.9,52,22.9,0.84
,"Wilson Chandler
(DEN)",Add,F,27,7,8,26.9,9.4,5.1,2.1,0.8,0.8,0.42,0.25,0.83,0.8,4.4,2.3,143.6,56,22.9,0.85
,"Iman Shumpert
(NYK)",Add,GF,24,3,59,29.1,9.5,3.2,2.9,0.1,1.7,0.44,0.31,0.8,0.7,2.5,1.8,169.6,52,22.8,0.78
,"James Johnson
(TOR)",Add,F,27,5,62,25.1,9.1,4.7,2,1.3,1.1,0.47,0.32,0.7,1.2,3.5,1.6,232.6,44,22.7,0.9
,"Vince Carter
(MEM)",Add,GF,37,16,61,25.3,10.1,3.4,2.3,0.4,0.9,0.44,0.36,0.83,0.5,2.8,1.4,124.6,64,22.7,0.9
,"CJ Watson
(IND)",Add,G,30,7,49,23.6,9.7,2.1,4.1,0.2,0.9,0.35,0.39,0.81,0.4,1.7,2,263,19,22.5,0.95
,"Stephen Jackson
(*FA)",Add,GF,36,14,47,25.8,9.8,3.5,2.5,0.3,1.1,0.43,0.29,0.82,0.5,3,2.2,284.6,6,22.4,0.87
,"Mario Chalmers
(MIA)",Add,G,28,6,64,28.5,9.8,2.7,3.5,0.2,1.5,0.51,0.39,0.79,0.3,2.4,2.2,140.3,45,22.4,0.79
,"George Hill
(IND)",Add,G,28,6,50,25.5,9.6,3,2.9,0.3,0.8,0.49,0.37,0.78,0.6,2.4,1,105,56,22.4,0.88
,"Jason Thompson
(SAC)",Add,FC,28,6,64,26,9.1,6.9,1.2,0.7,0.7,0.54,0,0.6,2.6,4.3,1.1,146.9,45,22.4,0.86
PN,"DeAndre Jordan
(LAC)",Add,C,26,6,66,27.2,7.4,8.3,0.3,2,0.5,0.63,0,0.52,3.1,5.2,1.1,37.8,88,22.1,0.81
PET,"Tony Allen
(MEM)",Add,G,32,10,58,26.3,9.8,4,1.4,0.6,1.8,0.48,0.31,0.8,1.7,2.3,1.6,197.2,45,22,0.84
,"Shannon Brown
(MIA)",Add,G,28,8,59,23.8,11,2.6,1.2,0.3,0.7,0.45,0.36,0.81,0.6,2,1.1,220.6,7,21.9,0.92
,"Zaza Pachulia
(MIL)",Add,C,30,11,58,28.3,7.8,7.9,1.4,0.5,0.9,0.5,0,0.74,2.7,5.2,1.4,170.3,44,21.8,0.77
,"DeJuan Blair
(WAS)",Add,FC,25,5,64,21.3,9.5,5.5,1.2,0.2,0.9,0.53,0,0.61,2.4,3.1,1.4,174.8,49,21.8,1.02
,"Landry Fields
(TOR)",Add,F,26,4,66,28.7,8.8,4.2,2.6,0.3,1.2,0.52,0.25,0.56,0.9,3.3,1.6,216.8,19,21.5,0.75
,"Greivis Vasquez
(TOR)",Add,G,27,4,66,25.8,8.9,2.6,5.4,0.1,0.9,0.47,0.32,0.82,0.3,2.3,2.2,138.1,50,21.5,0.83
,"Trevor Booker
(UTA)",Add,F,26,4,50,25.2,8.4,6.5,0.8,0.9,1,0.53,0.5,0.6,2.4,4.1,1.2,247.5,40,21.4,0.85
,"Rodrigue Beaubois
(*FA)",Add,G,26,5,53,21.7,8.9,2.8,2.9,0.5,1.1,0.48,0.29,0.84,0.4,2.5,1.3,284.4,6,21.4,0.98
,"Glen Davis
(LAC)",Add,FC,28,7,61,23.5,9.3,5.4,0.8,0.3,0.7,0.43,0.14,0.68,1.8,3.7,1.2,151.1,40,21.3,0.91
,"Jason Smith *
(NYK)",Add,FC,28,6,41,23.1,9.7,4.8,0.8,1,0.5,0.53,0.11,0.7,1.8,3,1,165.2,37,21.3,0.92
,"Marreese Speights
(GSW)",Add,FC,27,6,60,22.4,8.8,6.2,0.8,0.5,0.4,0.46,0,0.77,2.2,4,1.2,178,49,21.2,0.95
