FAN,STATS,Player,P,Age,Exp,G,MPG,PPG,RPG,APG,BPG,SPG,2pt,3pt,ft,ORPG,DRPG,TPG,ADP,O,FPPG,FPPM
MAC,"LeBron James
(CLE)",Add,F,29,11,62,37.5,27.1,7.9,6.2,0.8,1.9,0.56,0.36,0.77,1.5,6.4,3.4,4,94,55.9,1.49
ST.,"Kevin Love
(CLE)",Add,FC,26,6,55,39.1,26,13.4,2,0.5,0.9,0.47,0.37,0.82,4.1,9.3,2.3,5.9,95,55,1.41
CAM,"Kevin Durant
(OKL)",Add,F,25,7,66,38.6,28,8,3.5,1.2,1.3,0.54,0.39,0.86,0.6,7.4,3.8,2.1,94,53.9,1.4
VIS,"Kobe Bryant *
(LAL)",Add,GF,36,18,58,38.5,27.9,5.4,4.6,0.3,1.2,0.46,0.3,0.84,1.1,4.3,3.5,36.2,88,52.9,1.37
FSA,"Dwight Howard
(HOU)",Add,C,28,10,54,38.3,20.6,14.5,1.9,2.1,1.5,0.58,0,0.49,3.7,10.8,3.2,11.3,90,49.3,1.29
SAN,"Russell Westbrook
(OKL)",Add,G,25,6,66,35.4,23.6,4.6,5.5,0.3,1.7,0.48,0.32,0.82,1.5,3.1,3.6,11.7,90,46.2,1.31
SAN,"Josh Smith
(DET)",Add,F,28,10,66,35.3,18.7,9.6,3.9,1.8,1.4,0.48,0.26,0.63,2.1,7.5,2.5,54.3,90,45.8,1.3
ILH,"Blake Griffin
(LAC)",Add,F,25,4,66,36.2,20.7,10.9,3.2,0.7,0.8,0.56,0.13,0.52,3.3,7.6,2.3,8.9,90,45.8,1.26
NY,"Derrick Rose *
(CHI)",Add,G,25,6,39,35.2,21.8,3.4,7.9,0.7,0.9,0.48,0.31,0.81,0.7,2.7,3.1,32,80,45.7,1.3
CEN,"Dwyane Wade
(MIA)",Add,G,32,11,49,33.2,22.1,4.8,4.6,1.3,1.7,0.51,0.27,0.79,1.5,3.3,2.6,35.9,94,45.2,1.36
VIC,"Carmelo Anthony *
(NYK)",Add,F,30,11,55,34.1,22.8,6.2,3.5,0.4,1.1,0.46,0.33,0.8,1.6,4.6,2.5,10,95,44.9,1.32
GOO,"Chris Paul
(LAC)",Add,G,29,9,61,35.8,19.5,3.5,8.9,0.1,2.5,0.51,0.37,0.86,0.7,2.8,2,9,94,44.5,1.24
BEL,"LaMarcus Aldridge
(POR)",Add,FC,29,8,55,36.3,21.7,8,2.4,0.8,0.9,0.52,0.18,0.81,2.7,5.3,2,7.3,95,44.1,1.22
THU,"Al Jefferson
(CHA)",Add,C,29,10,61,34,19.2,9.6,2.2,1.7,0.8,0.49,0.25,0.77,2.2,7.4,1,13.3,94,44,1.29
VIC,"Deron Williams *
(BKL)",Add,G,30,9,55,36.4,21,3.3,8.7,0.4,1.2,0.45,0.34,0.84,0.4,2.9,4,65.6,76,43.9,1.21
THU,"Dirk Nowitzki
(DAL)",Add,F,36,16,62,33.5,21.6,6.8,2.2,0.5,0.7,0.48,0.37,0.9,0.7,6,1.9,22.6,95,42.1,1.26
,"Andrew Bynum
(*FA)",Add,C,26,9,60,35.2,18.7,11.8,1.4,1.9,0.4,0.56,0.2,0.69,3.2,8.6,2.5,203.2,40,41.9,1.19
VAL,"David Lee
(GSW)",Add,F,31,9,57,37.2,20.1,9.5,2.8,0.4,1,0.51,0,0.78,3,6.5,2.6,35.3,94,41.7,1.12
ENG,"Pau Gasol *
(CHI)",Add,FC,34,13,65,37.4,17.4,10.4,3.7,1.4,0.6,0.51,0.25,0.78,2.8,7.6,2.2,24.5,94,41.7,1.12
IP�,"Monta Ellis
(DAL)",Add,G,28,9,58,36.6,20.4,3.4,6,0.3,1.5,0.46,0.31,0.8,0.3,3.1,3.1,50.8,88,41.6,1.14
IPA,"DeMarcus Cousins
(SAC)",Add,C,24,4,64,30.5,18.1,11,1.6,1.2,1.5,0.45,0.14,0.7,4.1,6.8,2.7,8.8,94,41.3,1.35
CAM,"Brandon Jennings
(DET)",Add,G,24,5,66,35.4,19.1,3.4,5.5,0.3,1.6,0.46,0.33,0.81,0.7,2.7,2.2,63.2,82,40.5,1.14
NY,"Rudy Gay
(SAC)",Add,F,28,8,65,37.3,19,6.4,2.3,0.8,1.5,0.48,0.31,0.79,2,4.4,2.5,45.7,87,39.4,1.06
,"Paul Pierce
(WAS)",Add,F,36,16,60,33.8,19,5.2,4.5,0.4,1.1,0.48,0.36,0.85,0.6,4.6,2.8,102.8,71,38.8,1.15
VAL,"Paul Millsap
(ATL)",Add,F,29,8,64,32.9,16.6,8.8,2.3,0.8,1.8,0.5,0.23,0.79,2.8,6,1.8,26.1,94,38.5,1.17
GOO,"Tony Parker
(SAS)",Add,G,32,13,60,32,18.2,2.8,7.7,0.1,1,0.5,0.23,0.8,0.4,2.5,2.6,50.3,88,38.3,1.2
,"Eric Gordon *
(NOR)",Add,G,25,6,9,34.4,20.6,2.8,3.4,0.4,1.4,0.53,0.25,0.75,0.2,2.6,2.7,112.9,56,38.3,1.11
NEG,"Chris Bosh
(MIA)",Add,FC,30,11,57,35.1,18,7.9,1.8,0.8,0.9,0.5,0.29,0.82,1.6,6.3,2.1,28.3,87,37.7,1.07
,"Joe Johnson
(BKL)",Add,GF,33,13,60,35.4,18.9,3.7,3.8,0.2,0.8,0.49,0.39,0.85,0.9,2.8,1.9,96.3,64,37.3,1.05
IP�,"John Wall
(WAS)",Add,G,24,4,66,36.2,16.3,4.5,8,0.9,1.4,0.44,0.07,0.79,0.7,3.8,3.9,17.3,94,37.2,1.03
,"Andrea Bargnani *
(NYK)",Add,FC,28,8,31,33.2,19.5,5.5,1.9,0.5,0.6,0.47,0.3,0.87,0.8,4.8,2.2,107.6,56,36.9,1.11
ENG,"Marc Gasol
(MEM)",Add,C,29,6,65,36.4,14.6,8.9,3.1,1.9,1,0.49,0.08,0.75,1.8,7.1,1.9,33.9,95,36.9,1.01
,"Antawn Jamison
(*FA)",Add,F,38,16,65,33.1,17.2,6.3,2,0.6,0.8,0.42,0.34,0.68,1.9,4.4,1.4,214,6,36.8,1.11
PA�,"Tim Duncan
(SAS)",Add,FC,38,17,58,28.2,15.4,9,2.3,1.5,0.7,0.5,0,0.69,1.9,7.1,1.7,32.8,94,36.8,1.3
,"Danny Granger
(MIA)",Add,F,31,9,62,33.3,18.7,5,1.8,0.6,1,0.43,0.38,0.87,1.3,3.7,1.8,163,45,36.7,1.1
,"Kevin Garnett
(BKL)",Add,FC,38,19,59,31.1,15.7,8.3,2.9,1,0.9,0.51,0.33,0.86,1.1,7.2,1.8,127.6,68,36.6,1.18
CEN,"Kyrie Irving
(CLE)",Add,G,22,3,51,30.6,18.5,3.7,5.4,0.4,1.1,0.49,0.4,0.87,0.9,2.9,3.1,24.3,94,36.2,1.18
