FAN,STATS,Player,P,Age,Exp,G,MPG,PPG,RPG,APG,BPG,SPG,2pt,3pt,ft,ORPG,DRPG,TPG,ADP,O,FPPG,FPPM
,"Marvin Williams
(CHA)",Add,F,28,9,74,23.4,7.1,3.6,1,0.5,0.5,0.48,0.33,0.78,0.7,2.8,0.8,192.2,38,15.9,0.68
,"Jodie Meeks
(DET)",Add,G,27,5,78,21.3,7.9,2.2,0.9,0.1,0.7,0.44,0.36,0.9,0.5,1.7,0.7,125.1,44,15.7,0.74
,"Charlie Villanueva
(DET)",Add,F,30,9,68,16.1,6.9,3.5,0.8,0.6,0.5,0.41,0.35,0.55,0.7,2.8,0.6,226.8,7,15.6,0.97
,"Wayne Ellington
(SAC)",Add,G,26,5,78,21.3,7.9,2.1,1.3,0,0.6,0.46,0.39,0.91,0.3,1.8,0.7,275.1,6,15.5,0.73
,"Marcus Morris
(PHO)",Add,F,25,3,77,19.8,7.7,3.6,0.8,0.3,0.6,0.46,0.37,0.56,1,2.6,1,176.3,44,15.5,0.78
PRO,"Jordan Hill
(LAL)",Add,FC,27,5,29,15.8,6.7,5.7,0.4,0.7,0.3,0.5,0,0.66,2.8,2.9,0.9,79.6,69,15.5,0.98
,"Wesley Johnson
(LAL)",Add,GF,27,4,50,19,8,2.5,0.7,0.4,0.4,0.46,0.32,0.77,0.4,2,1,206,40,15.4,0.81
,"Kenyon Martin
(*FA)",Add,F,36,14,18,23.9,7.2,5.2,0.4,0.9,0.9,0.6,0,0.43,1.9,3.3,0.9,227.7,13,15.4,0.64
,"Zaza Pachulia
(MIL)",Add,C,30,11,52,21.8,5.9,6.5,1.5,0.2,0.7,0.48,0,0.76,2.5,3.9,1.3,170.3,44,15.3,0.7
,"Jason Smith *
(NYK)",Add,FC,28,6,51,17.2,8.2,3.6,0.7,0.9,0.3,0.5,0,0.84,1.3,2.4,1.1,165.2,37,15.2,0.89
,"Iman Shumpert
(NYK)",Add,GF,24,3,45,22.1,6.8,3,1.7,0.2,1,0.39,0.4,0.77,0.7,2.3,0.8,169.6,52,15.1,0.68
,"Bismack Biyombo
(CHA)",Add,FC,22,3,80,27.3,4.8,7.3,0.4,1.8,0.4,0.45,0,0.52,2.4,4.9,1,153.3,45,15.1,0.55
,"Toney Douglas
(MIA)",Add,G,28,5,71,18.2,7.5,1.9,2.1,0,1,0.42,0.38,0.9,0.5,1.5,1.1,263.4,11,15,0.82
,"Josh McRoberts *
(MIA)",Add,F,27,7,67,22.3,6,4.9,2.1,0.4,0.5,0.51,0.29,0.76,1.4,3.5,1,147.8,50,14.8,0.67
,"PJ Tucker
(PHO)",Add,GF,29,3,79,24.2,6.4,4.4,1.4,0.2,0.8,0.5,0.31,0.74,1.7,2.8,0.8,143.2,40,14.8,0.61
,"Gerald Green
(PHO)",Add,GF,28,7,61,17.9,7.1,2.3,0.8,0.4,0.3,0.41,0.32,0.81,0.5,1.8,0.9,110.6,69,14.8,0.82
,"John Henson
(MIL)",Add,FC,23,2,62,13.3,6.1,4.8,0.5,0.7,0.3,0.49,0,0.53,1.9,2.9,0.8,78.3,75,14.6,1.09
,"Tyler Hansbrough
(TOR)",Add,FC,28,5,82,16.9,7,4.6,0.4,0.2,0.4,0.44,0,0.72,2,2.6,1,263,37,14.5,0.86
,"Brian Roberts
(CHA)",Add,G,28,2,77,17.3,7.2,1.3,2.8,0,0.5,0.43,0.39,0.91,0.2,1,0.9,251.8,38,14.3,0.83
,"Patrick Beverley
(HOU)",Add,G,26,2,42,17.6,5.7,2.7,2.9,0.5,0.9,0.46,0.38,0.83,1.1,1.6,1.1,140,50,14.3,0.81
,"CJ Watson
(IND)",Add,G,30,7,80,19,6.8,1.8,2,0.2,0.8,0.42,0.41,0.78,0.5,1.3,0.9,263,19,14.3,0.75
