FAN,STATS,Player,P,Age,Exp,G,MPG,PPG,RPG,APG,BPG,SPG,2pt,3pt,ft,ORPG,DRPG,TPG,ADP,O,FPPG,FPPM
,"Doron Lamb
(*FA)",Add,G,22,2,47,12.3,3.3,1,0.7,0,0.3,0.37,0.38,0.59,0.2,0.8,0.6,263.4,2,5.8,0.47
,"Aaron Gray
(DET)",Add,C,29,7,42,12.3,2.8,3.2,0.8,0.1,0.2,0.53,0,0.52,1.1,2,0.9,255.3,18,5.8,0.47
,"Diante Garrett
(*FA)",Add,G,25,2,18,8.3,2.2,0.8,1.7,0,0.6,0.38,0.2,0.5,0.3,0.6,0.9,65,2,5.8,0.69
,"Kwame Brown
(*FA)",Add,FC,32,13,22,12.2,1.9,3.4,0.4,0.5,0.3,0.46,0,0.37,1,2.3,0.4,261.8,6,5.7,0.46
,"Marquis Teague
(BKL)",Add,G,21,2,40,9.7,2.4,1.1,1.6,0.2,0.2,0.43,0.17,0.56,0.1,1,0.9,286.4,14,5.6,0.58
,"Viacheslav Kravtsov
(*FA)",Add,C,27,2,25,8.8,3.1,1.8,0.4,0.4,0.2,0.72,0,0.3,1,0.8,0.6,249.4,2,5.5,0.62
,"Kent Bazemore *
(*FA)",Add,G,25,2,45,5.9,2.7,0.5,0.5,0.1,0.4,0.4,0.29,0.61,0.1,0.4,0.4,265.9,33,5.3,0.9
,"Joel Anthony
(BOS)",Add,C,32,7,61,9.3,1.4,1.9,0.2,0.7,0.2,0.51,0,0.61,0.7,1.1,0.4,136.2,6,5.2,0.56
,"Jan Vesely
(*FA)",Add,F,24,3,50,12.1,2.5,2.4,0.6,0.3,0.3,0.5,0,0.31,0.9,1.6,0.5,249.3,14,5.1,0.42
,"Jeremy Evans
(UTA)",Add,F,26,4,36,6,2.1,1.6,0.3,0.4,0.2,0.63,0,0.64,0.7,0.9,0.2,215.6,37,4.9,0.82
SIX,"Miles Plumlee
(PHO)",Add,FC,26,2,14,3.9,0.9,1.6,0.1,0.2,0,0.24,0,0.75,0.9,0.7,0.2,112.4,69,3.8,0.99
,"Jared Cunningham
(*FA)",Add,G,23,2,7,3.7,2.3,0.4,0.1,0,0.1,0.36,0.67,1,0.1,0.3,0.3,175.8,6,3.6,0.97
,"Andris Biedrins
(*FA)",Add,FC,28,10,51,9.7,0.5,3,0.3,0.8,0.3,0.48,0,0.31,0.7,2.3,0.3,220.2,6,3.6,0.37
,"Josh Harrellson
(*FA)",Add,FC,25,3,6,5.3,1.7,1.2,0,0.2,0.2,0.75,0.2,0.5,0.5,0.7,0.5,238.7,14,3.4,0.63
,"Jeremy Tyler
(SAC)",Add,FC,23,3,17,4,1.3,1.2,0.1,0.1,0.1,0.38,0,0.67,0.4,0.8,0.4,174,21,2.5,0.63
,"Henry Sims
(PHI)",Add,C,24,2,2,2.5,2,1,0,0,0,0.67,0,0,1,0,0.5,138.6,45,2.1,0.84
,"Jason Collins
(*FA)",Add,C,35,13,37,10.3,1.1,1.6,0.2,0.3,0.3,0.31,0,0.72,0.6,1,0.5,251.4,2,1.8,0.17
,"Jarvis Varnado
(PHI)",Add,F,26,2,13,4.5,0.6,0.7,0.2,0.2,0.1,0.43,0,0.5,0.2,0.5,0.5,117.4,6,1.6,0.35
,"Chris Wright
(MIL)",Add,F,25,3,3,1.7,0.7,0,0,0,0,0.5,0,0,0,0,0.3,115,7,1.1,0.64
